ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-06-06,87849748.66992696,-10273274.02871984,81748324.91838476,-8243347.883776281,9243089.77312412,0.0,918.7966400000001,0.0,0.0,0.0
2021-06-07,74704145.5899429,-10393919.89642795,81749835.11422221,-3921344.884112344,-7907117.051040644,0.0,876.1451820000001,0.0,0.0,0.0
2021-06-08,69733834.31994778,-10082398.753749922,81751345.31005968,3119221.5058142026,-11221225.374394896,0.0,856.5960239999999,0.0,0.0,0.0
2021-06-09,70645655.97995189,-9311714.63104409,81752855.50589715,10867118.280743424,-11060434.394691791,0.0,904.717492,0.0,0.0,0.0
2021-06-10,70952929.0799463,-8065609.380014689,81754365.7017346,16449545.12495645,-10423734.481428549,0.0,894.3044360000001,0.0,0.0,0.0
2021-06-11,73891818.01994273,-6339509.221568979,81755875.89757206,17334688.362333972,14938208.213352336,0.0,873.8220699999999,0.0,0.0,0.0
2021-06-12,74770375.69994116,-4141181.528973024,81757386.09340952,13003524.808946166,16431213.315141238,0.0,895.6856479999999,0.0,0.0,0.0
2021-06-13,88582989.58994588,-1491073.9154948413,81758896.28924698,5667185.8351456765,9243089.77310679,0.0,899.659074,0.0,0.0,0.0
2021-06-14,75180616.34996155,1577683.9821407527,81760406.48508443,-934606.9151837076,-7907117.05104061,0.0,911.2750379999999,0.0,0.0,0.0
2021-06-15,73551472.06995018,5019626.558856521,81761916.6809219,-4011936.970768557,-11221225.374402536,0.0,891.821228,0.0,0.0,0.0
2021-06-16,71935345.7899431,8777647.089821491,81763426.87675937,-3551026.192220118,-11060434.394709324,0.0,890.7348420000002,0.0,0.0,0.0
2021-06-17,72946708.22994438,12784032.50968906,81764937.07259682,-1931066.7498132405,-10423734.48146476,0.0,903.3438639999999,0.0,0.0,0.0
2021-06-18,78759952.019937,16961819.483038306,81766447.26843427,-1636346.2137281715,14938208.213291733,0.0,890.6274440000001,0.0,0.0,0.0
2021-06-19,83199717.91993035,21226443.66909081,81767957.46427174,-3078456.997700495,16431213.31513101,0.0,858.40311,0.0,0.0,0.0
2021-06-20,78391266.61993836,25487645.225197893,81769467.66010919,-4478760.991895493,9243089.773108736,0.0,889.6829779999998,0.0,0.0,0.0
2021-06-21,72578705.23995158,29651585.594187774,81770977.85594665,-3890607.903722471,-7907117.051040578,0.0,899.7990839999999,0.0,0.0,0.0
2021-06-22,67536269.18995447,33623123.72418924,81772488.05178411,-1439431.1609293222,-11221225.3743747,0.0,879.4369660000001,0.0,0.0,0.0
2021-06-23,78956562.68999906,37308194.29079068,81773998.24762158,406131.21710718353,-11060434.394683167,0.0,877.63506,0.0,0.0,0.0
2021-06-24,81345534.05001262,40616226.40893558,81775508.44345903,-1056891.1088953833,-10423734.481457472,0.0,884.577708,0.0,0.0,0.0
2021-06-25,85317264.4399783,43462538.87702965,81777018.63929649,-6092823.71790288,14938208.213305753,0.0,888.5197119999999,0.0,0.0,0.0
2021-06-26,87452405.03998703,45770647.28294947,81778528.83513395,-11738815.294718867,16431213.315130334,0.0,899.27232,0.0,0.0,0.0
2021-06-27,98431686.19000342,47474419.36785961,81780039.03097141,-13773218.568434317,9243089.773072133,0.0,877.0034399999998,998.8439999999999,0.0,0.0
2021-06-28,84625955.28001767,48520017.88802752,81781549.22680888,-9920716.158817722,-7907117.051034335,-37962835.095654994,883.3073200000001,991.3960000000001,21.0,0.0
2021-06-29,81944268.44000614,48867574.78252064,81783059.42264634,-1691152.8789894416,-11221225.37440844,0.0,899.2726140000001,986.0480000000001,48.0,0.0
2021-06-30,80769588.05996269,48492546.64583985,81784569.59699513,6596388.116087568,-11060434.394700697,0.0,888.7513719999998,985.2919999999997,88.5,0.0
2021-07-01,86239296.25995073,47386709.16824958,81786079.7713439,10734800.774463767,-10423734.481450183,0.0,1835.3756079999998,989.548,232.5,0.0
2021-07-02,94740461.49994595,45558757.152023606,81787589.94569269,9183766.788036164,14938208.21331977,0.0,2686.6458559999996,985.068,348.0,0.0
2021-07-03,93330188.43996526,43034486.70749605,81789100.12004147,3518857.795020864,16431213.315135803,0.0,2072.5170180000005,974.2040000000002,351.0,0.0
2021-07-04,75200017.30995551,39856547.01648939,81790610.29439026,-3086850.4779417184,9243089.773074076,0.0,1506.5007340000002,967.6519999999999,226.5,0.0
2021-07-05,82096345.1299655,36083760.3343131,81792120.46873905,-7793685.111131913,-7907117.051034303,-20336864.867918205,2317.955408,9.884,295.5,0.0
2021-07-06,83461446.41996334,31790020.38028587,81793630.64308782,-9054433.090470154,-11221225.374389987,0.0,879.1208059999999,0.0,291.0,0.0
2021-07-07,86024277.9999796,27062790.626918405,81795140.8174366,-6503515.3772755535,-11060434.394696385,0.0,722.371266,0.0,369.0,0.0
2021-07-08,88692927.05994496,22001234.925571147,81796650.99178539,-642057.626424038,-10423734.4814429,0.0,732.7979760000001,0.0,384.0,0.0
2021-07-09,92875088.12993227,16714023.097064644,81798161.16613418,7073170.146044285,14938208.213331727,0.0,723.54901,0.0,480.0,0.0
2021-07-10,97766625.54992783,11316863.281457134,81799671.34048297,14115635.86568555,16431213.31514468,0.0,719.8578719999999,0.0,499.5,0.0
2021-07-11,111645634.68993667,5929820.720722347,81801181.51483175,17575667.782622628,9243089.773076024,0.0,739.9902539999999,0.0,601.5,0.0
2021-07-12,92655142.34995875,674489.0121716436,81802691.68918054,15742639.821971104,-7907117.051034272,0.0,729.6186099999998,0.0,327.0,0.0
2021-07-13,88371067.58995111,-4328915.468656023,81804201.86352932,9486256.49135729,-11221225.374397635,0.0,717.96447,0.0,351.0,0.0
2021-07-14,85326301.1399421,-8964462.463453252,81805712.03787811,2047988.4310613056,-11060434.39468844,0.0,729.2560060000001,0.0,300.0,0.0
2021-07-15,89746518.18993475,-13123345.659209564,81807222.2122269,-2987719.5646065352,-10423734.481479106,0.0,744.359062,0.0,330.0,0.0
2021-07-16,93630057.14992934,-16706576.171240628,81808732.38657568,-4109855.904100792,14938208.213347804,0.0,709.917378,0.0,394.5,0.0
2021-07-17,98179354.56992635,-19627461.477915782,81810242.56092447,-2701023.6303741643,16431213.315134456,0.0,738.320914,0.0,438.0,0.0
2021-07-18,110636341.3299475,-21813804.578805216,81811752.73527324,-1529508.3046254034,9243089.773039425,0.0,742.5140599999997,0.0,481.5,0.0
2021-07-19,93020219.96995805,-23209764.900942508,81813262.90962203,-2216525.627467492,-7907117.0510028545,0.0,735.4146920000001,0.0,300.0,0.0
2021-07-20,87838391.95993637,-23777330.839461595,81814773.08397081,-3933088.7053778186,-11221225.374379186,0.0,712.8161459999999,0.0,243.0,0.0
2021-07-21,87249499.26994419,-23497363.573662005,81816283.2583196,-4490452.5821605055,-11060434.394684128,0.0,722.98685,0.0,312.0,0.0
2021-07-22,90661438.40993829,-22370182.691595383,81817793.43266839,-2782934.3114026957,-10423734.481458556,0.0,732.2929899999999,0.0,309.0,0.0
2021-07-23,97641957.4999245,-20415675.898649104,81819303.60701716,-242335.4246553796,14938208.213359766,0.0,728.469136,0.0,411.0,0.0
2021-07-24,98306752.2599284,-17672927.365204148,81820813.78136595,185096.3275185688,16431213.315133777,0.0,734.5015219999999,0.0,463.5,0.0
2021-07-25,111279147.39993013,-14199371.756560763,81822323.95571473,-3248782.796420886,9243089.77311264,0.0,717.1064479999999,0.0,499.5,0.0
2021-07-26,94088624.01997025,-10069493.348663555,81823834.13006352,-9111853.35259184,-7907117.051028,0.0,8.938022,0.0,351.0,0.0
2021-07-27,92008595.09996955,-5373101.532034099,81825344.3044123,-13429377.634256922,-11221225.374412928,0.0,0.0,0.0,315.0,0.0
2021-07-28,86991246.06998229,-213225.1201088384,81826854.47876109,-12579853.14460474,-11060434.394701656,0.0,0.0,0.0,309.0,0.0
2021-07-29,88156302.09995878,5296322.094782485,81828364.65310988,-6119107.7676345445,-10423734.481464537,0.0,686.9524060000001,0.0,328.5,0.0
2021-07-30,95342163.57993636,11033643.428860132,81829874.82745866,2748608.5814272016,14938208.213299165,0.0,703.6784260000001,0.0,435.0,0.0
2021-07-31,101121460.7499277,16871660.86124299,81831385.00180745,9360416.005974896,16431213.3151331,0.0,685.3090980000001,0.0,559.5,0.0
2021-08-01,117926057.00996298,22681142.604851156,81832895.17615624,10633791.160817323,9243089.773095312,0.0,968.7687540000001,0.0,742.5,0.0
2021-08-02,96552899.44999723,28333779.907229785,81834405.35050502,6679592.321838275,-7907117.051002787,0.0,997.5432920000002,0.0,22.5,0.0
2021-08-03,91575060.50996499,33705234.99207946,81835915.52485381,130519.23205547176,-11221225.374394476,0.0,1002.5600320000001,0.0,63.0,0.0
2021-08-04,126396289.31981398,38678082.81815979,81837425.69920258,-5806864.791248728,-11060434.394675504,0.0,1020.7737960000001,0.0,352.5,0.0
2021-08-05,130124826.44979405,43144572.15037064,81838935.87355137,-8900234.960631749,-10423734.481443984,0.0,986.9163139999998,0.0,898.5,0.0
2021-08-06,142983408.38993654,47009136.23219343,81840446.04790016,-8243347.883780852,14938208.21331318,0.0,994.535074,0.0,1220.5,0.0
2021-08-07,147935183.0398804,50190589.99046219,81841956.22224894,-3921344.8841198673,16431213.315132424,0.0,998.973632,0.0,1779.5,0.0
2021-08-08,154577007.11981177,52623959.01425097,81843466.39659773,3119221.5058311303,9243089.773097256,0.0,782.0851419999999,0.0,2189.0,0.0
2021-08-09,121305623.4198352,54261895.30273034,81844976.5709465,10867118.280745003,-7907117.051027932,0.0,970.9463939999999,0.0,1401.5,0.0
2021-08-10,118281759.82987106,55075645.70944746,81846486.74529529,16449545.124965116,-11221225.37439273,0.0,989.0036660000001,0.0,1406.0,0.0
2021-08-11,168215602.31977475,55055550.82429131,81847996.91964407,17334688.362333708,-11060434.394693032,0.0,986.1587579999999,0.0,1403.5,0.0
2021-08-12,178109984.96975473,54211064.40999442,81849507.09399286,13003524.80894848,-10423734.481436696,0.0,991.891964,0.0,1275.0,0.0
2021-08-13,209281841.2697975,52570296.11050851,81851017.26834165,5667185.835151529,14938208.213327195,0.0,982.0594520000001,0.0,1538.5,0.0
2021-08-14,210997114.56981575,50179092.63382708,81852527.44269043,-934606.915190278,16431213.315122196,0.0,985.039174,0.0,1737.0,0.0
2021-08-15,216909358.63984704,47099684.64206588,81854037.6170392,-4011936.970759461,9243089.773131926,0.0,1006.75793,0.0,1970.0,0.0
2021-08-16,157942415.18981275,43408937.83430443,81855547.7754586,-3551026.192221426,-7907117.051053078,0.0,988.80859,0.0,1296.5,0.0
2021-08-17,143579115.97984746,39196256.87771401,81857057.93387799,-1931066.749812024,-11221225.374400375,0.0,1002.78724,0.0,910.0,0.0
2021-08-18,89395186.97994457,34561199.65934858,81858568.09229738,-1636346.2137242528,-11060434.394685086,0.0,981.3891059999997,0.0,1077.5,0.0
2021-08-19,89178283.40994537,29610866.558838382,81860078.25071678,-3078456.99768843,-10423734.48142941,0.0,1002.1088420000001,0.0,1033.5,0.0
2021-08-20,92636750.39994112,24457134.891472258,81861588.40913616,-4478760.991901835,14938208.213339156,0.0,961.0579579999999,0.0,1201.5,0.0
2021-08-21,102468160.19993752,19213812.201006293,81863098.56755555,-3890607.903723877,16431213.315146774,0.0,1002.0297119999999,0.0,1437.0,0.0
2021-08-22,125369176.47992378,13993783.604210924,81864608.72597493,-1439431.1609249606,9243089.77313387,0.0,1008.9890300000001,0.0,1339.0,0.0
2021-08-23,93566113.46994087,8906227.873718193,81866118.88439432,406131.21712216747,-7907117.051027867,0.0,984.5314900000001,0.0,990.0,0.0
2021-08-24,84667331.81994814,4053974.415477787,81867629.0428137,-1056891.1088995354,-11221225.374408022,0.0,1005.8754179999999,0.0,878.5,0.0
2021-08-25,77376045.69993395,-468931.16645163216,81869139.2012331,-6092823.717920305,-11060434.394702615,0.0,993.994156,0.0,664.5,0.0
