ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,2605922.0800000066,6500.802727492989,1771872.194628331,-4980.819172678091,518679.9182375744,0.0,12.996882000000001,0.0
2021-06-07,2094810.5600000073,25531.37936883232,1771107.566452253,25516.361355136967,-164659.48676988864,0.0,16.4075,0.0
2021-06-08,2249760.640000031,45768.54761036694,1770342.938276175,39560.54274329518,-296725.87071001605,0.0,12.959999999999999,0.0
2021-06-09,2286130.0800001365,66845.54058015686,1769578.310100097,39372.86659361394,-286127.6266409976,0.0,13.919999999999998,0.0
2021-06-10,2359111.8400001754,88376.11050414068,1768813.6819240188,39260.77180134789,-246257.3930722721,0.0,9.04,0.0
2021-06-11,2433672.320000168,109962.60290746702,1768049.0537479408,49133.11948308624,67581.66848238997,0.0,12.64,0.0
2021-06-12,2549669.60000009,131204.1701651522,1767284.4255718626,65299.00674565236,407508.7904731029,0.0,11.18,0.0
2021-06-13,2597115.8400000976,151704.93958428127,1766519.7973957846,75848.12788321181,518679.9182372816,0.0,15.16,0.0
2021-06-14,2262493.440000029,171081.95717682395,1765755.169219707,73061.29658039237,-164659.4867702005,0.0,15.5,0.0
2021-06-15,2255402.0799998874,188972.73851999317,1764990.5410436285,59695.02660299556,-296725.8707101228,0.0,13.241499999999998,0.0
2021-06-16,2059813.7599999348,205042.27219679207,1764225.9128675505,44037.55840622772,-286127.6266413735,0.0,7.9,0.0
2021-06-17,2017640.9599999005,218989.3387487987,1763461.2846914723,30869.62837605812,-246257.39307206945,0.0,12.640000000000002,0.0
2021-06-18,2196621.4400000176,230552.0282855373,1762696.656515394,18896.21186732079,67581.66848102689,0.0,13.719999999999999,0.0
2021-06-19,2487599.039999958,239512.3622182166,1761932.0283393164,6762.049330579452,407508.7904735346,0.0,8.06,0.0
2021-06-20,2097964.319999971,245699.9483661842,1761167.400163238,-885.5139288690697,518679.918236984,0.0,15.82,0.0
2021-06-21,1761075.0400000038,248994.62320254795,1760402.7719871602,3403.966869375613,-164659.4867705124,0.0,14.98,0.0
2021-06-22,1743422.0800000133,249328.05959245333,1759638.1438110818,18744.006332653356,-296725.87070975406,0.0,7.720000000000001,0.0
2021-06-23,1688049.1200000206,246684.3423565753,1758873.515635004,29070.89299687263,-286127.626640635,0.0,12.399999999999999,0.0
2021-06-24,1698691.6799999985,241099.53674877985,1758108.8874589256,11487.165287508586,-246257.3930721459,0.0,9.5,0.0
2021-06-25,1837019.1999999806,232660.29592013656,1757344.259282848,-43554.03233459516,67581.6684814547,0.0,6.4399999999999995,0.0
2021-06-26,2029888.0000000014,221501.5721601774,1756579.6311067694,-117456.64691808003,407508.7904737136,0.0,8.34,0.0
2021-06-27,2105158.719999969,207803.5127834319,1755815.0029306917,-170192.5866641856,518679.918236696,0.0,11.32,0.0
2021-06-28,1689090.5599999973,191787.6346604353,1755050.3747546133,-167233.52311226467,-164659.48676904448,-43699.47575241314,12.2,0.0
2021-06-29,1657681.7599999942,173712.3813974477,1754285.7465785355,-106533.05992522444,-296725.87071030564,0.0,11.0185,0.0
2021-06-30,1613076.480000004,153868.17395545827,1753521.119114903,-22776.976376408657,-286127.626641011,0.0,14.409999999999998,0.0
2021-07-01,1698246.4000000027,132572.0690930355,1752756.491651271,36310.91198241527,-246257.39307222236,0.0,52.3,0.0
2021-07-02,1875482.5599999852,110162.14052842984,1751991.8641876385,43604.46264210432,67581.66848188243,0.0,39.910000000000004,0.0
2021-07-03,1842815.2000000277,86991.6953611405,1751227.236724006,9644.53059547988,407508.79047284287,0.0,10.76,0.0
2021-07-04,1446427.6799999988,63423.43335105336,1750462.6092603735,-29461.48544918746,518679.91823639855,0.0,16.56,0.0
2021-07-05,1573630.5599999996,39823.64948702457,1749697.9817967415,-41733.59550223702,-164659.48676935647,-10319.424727116304,13.48,0.0
2021-07-06,1497918.2400000086,16556.571284789094,1748933.354333109,-21625.61083902173,-296725.87070996774,0.0,3.62,0.0
2021-07-07,1504612.1599999976,-6021.088111864565,1748168.7268694767,11665.498820259932,-286127.62664082967,0.0,11.25,0.0
2021-07-08,1555131.2000000132,-27565.2912454073,1747404.0994058445,34909.409054562704,-246257.3930722988,0.0,11.239999999999998,0.0
2021-07-09,1621971.0400000105,-47749.49403412402,1746639.471942212,40444.25141659775,67581.66848185945,0.0,9.420000000000002,0.0
2021-07-10,1709602.8800000292,-66269.07355800476,1745874.8444785797,38406.88347150635,407508.79047276906,0.0,5.66,0.0
2021-07-11,1991111.8400000138,-82845.331014388,1745110.2170149472,42857.247724779925,518679.9182361009,0.0,10.66,0.0
2021-07-12,1573130.0800000024,-97229.04549916316,1744345.589551315,57126.52349764984,-164659.48676966838,0.0,11.14,0.0
2021-07-13,1369066.7200000058,-109203.56377067356,1743580.9620876824,71986.75276295494,-296725.8707100745,0.0,11.440000000000001,0.0
2021-07-14,1434500.80000001,-118587.41932161116,1742816.3346240502,76185.30589999421,-286127.62664094823,0.0,11.14,0.0
2021-07-15,1570222.8800000125,-125236.48076675052,1742051.7071604177,67196.74807138905,-246257.39307209617,0.0,12.21,0.0
2021-07-16,1453272.480000015,-129045.63464087744,1741287.0796967854,51691.17689945763,67581.668482738,0.0,7.24,0.0
2021-07-17,1716966.560000014,-129950.01120097902,1740522.452233153,37122.08053431741,407508.7904732008,0.0,8.46,0.0
2021-07-18,1835580.3200000068,-127925.76379395058,1739757.824769521,24917.183097569086,518679.918235813,0.0,4.58,0.0
2021-07-19,1640036.1600000092,-122990.41293385478,1738993.1973058884,12719.195210058184,-164659.48676795632,0.0,8.4,0.0
2021-07-20,1430548.48000001,-115202.76563479396,1738228.569842256,1863.0747364792423,-296725.87070973666,0.0,8.4,0.0
2021-07-21,1541610.8800000155,-104662.4190288296,1737463.942378624,-510.8221749783464,-286127.6266407669,0.0,10.26,0.0
2021-07-22,1510971.200000036,-91508.85516558724,1736699.3149149914,10353.39454202954,-246257.3930716132,0.0,12.440000000000001,0.0
2021-07-23,1700299.840000022,-75920.13147466024,1735934.6874513591,26016.442106426795,67581.66848271507,0.0,6.4399999999999995,0.0
2021-07-24,1691545.1200000192,-58111.16902232679,1735170.0599877266,24928.31554119946,407508.79047337966,0.0,7.220000000000001,0.0
2021-07-25,1807634.4000000188,-38331.63874746307,1734405.4325240944,-11806.340304681244,518679.9182371338,0.0,12.799999999999999,0.0
2021-07-26,1370299.5200000338,-16863.44465445881,1733640.805060462,-80398.36985299028,-164659.48676851246,0.0,0.0,0.0
2021-07-27,1500593.6000000164,5982.197244335548,1732876.1775968298,-149138.4834448753,-296725.87071028823,0.0,0.0,0.0
2021-07-28,1337278.8800000225,29868.08434634673,1732111.550133197,-176764.7184867642,-286127.6266411429,0.0,0.0,0.0
2021-07-29,1451605.4400000249,54434.75479918721,1731346.9226695648,-142630.06006365086,-246257.39307224905,0.0,4.2,0.0
2021-07-30,1590150.080000025,79304.61018108773,1730582.2952059326,-64445.922979821466,67581.66848135197,0.0,4.2,0.0
2021-07-31,1715133.9200000116,104086.4211881704,1729817.6677423003,12365.701378268826,407508.79047355865,0.0,5.220000000000001,0.0
2021-08-01,1878916.0000000298,128380.19664680387,1729053.0402786678,46653.28336754917,518679.918236841,0.0,13.279999999999998,0.0
2021-08-02,1487216.8000000028,151782.38737345082,1728288.4128150356,29803.637388833937,-164659.48676858016,0.0,15.0,0.0
2021-08-03,1410580.800000001,173891.3863434713,1727523.7853514033,-11719.060490356542,-296725.8707099504,0.0,21.02,0.0
2021-08-04,1845026.880000063,194313.27560689612,1726759.1578877708,-40027.67546118519,-286127.62664040434,0.0,13.399999999999999,0.0
2021-08-05,1843499.6800000716,212667.7587373213,1725994.5304241383,-34915.30651498406,-246257.39307176613,0.0,11.58,0.0
2021-08-06,2048291.6800000623,228594.20574499396,1725229.902960506,-4980.819172622722,67581.66848177974,0.0,6.039999999999999,0.0
2021-08-07,2355884.4800000414,241757.72577265935,1724465.2754968738,25516.361355133387,407508.7904737376,0.0,14.559999999999999,0.0
2021-08-08,2308221.120000077,251855.17201825016,1723700.6480332415,39560.54274336022,518679.9182365435,0.0,11.680000000000001,0.0
2021-08-09,1852361.120000036,258620.9736836506,1722936.0205696092,39372.8665936373,-164659.48676913625,0.0,14.260000000000002,0.0
2021-08-10,1990224.9600000863,261832.6818367454,1722171.3931059767,39260.77180143078,-296725.8707100263,0.0,12.4,0.0
2021-08-11,1723561.1200000402,261316.11036111577,1721406.7656423445,49133.1194830851,-286127.6266407804,0.0,12.64,0.0
2021-08-12,1759271.8400000394,256949.95008644665,1720642.138178712,65299.006745600425,-246257.3930718425,0.0,14.700000000000001,0.0
2021-08-13,1892322.2400000119,248669.7341124105,1719877.5107150795,75848.12788322025,67581.66848220753,0.0,12.059999999999999,0.0
2021-08-14,2094575.040000003,236471.0355530929,1719112.8832514472,73061.29658031561,407508.7904741693,0.0,9.66,0.0
2021-08-15,2305376.4800000032,220411.7856417369,1718348.255787815,59695.02660301183,518679.9182378739,0.0,13.9,0.0
2021-08-16,1717437.600000057,200613.61044635248,1717729.4227966436,44037.558406216434,-164659.48676969233,0.0,9.82,0.0
2021-08-17,1767187.520000033,177262.0983478803,1717110.589805472,30869.62837605097,-296725.8707101332,0.0,15.74,0.0
2021-08-18,1349982.2399999998,150605.92778974856,1716491.7568143003,18896.21186732714,-286127.6266408988,0.0,12.28,0.0
2021-08-19,1365728.9599999993,120954.805386637,1715872.923823129,6762.049330620274,-246257.39307191895,0.0,7.140000000000001,0.0
2021-08-20,1353676.9600000004,88676.18790110966,1715254.0908319575,-885.5139289140366,67581.66848218458,0.0,13.8,0.0
2021-08-21,1616163.9999999965,54190.787405896175,1714635.257840786,3403.966869342948,407508.7904727931,0.0,12.660000000000002,0.0
2021-08-22,1715792.6400000036,17966.886549457704,1714016.4248496145,18744.006332642093,518679.9182375764,0.0,12.64,0.0
2021-08-23,1326849.7599999919,-19486.48040669673,1713397.5918584429,29070.89299695885,-164659.48676976006,0.0,12.655000000000001,0.0
2021-08-24,1250511.8399999875,-57627.39596457771,1712778.7588672717,11487.165287546735,-296725.8707102401,0.0,7.9,0.0
