ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-06-06,8120679.049994847,-145706.33121142094,6158526.064474711,-391723.8689550032,707253.9695695353,0.0,214.9,0.0
2021-06-07,7022117.999995392,-234307.60134770809,6155140.196580588,-410885.9843712734,-983121.7107279426,0.0,167.7,0.0
2021-06-08,6629979.849996386,-319112.04200852034,6151754.328686465,-608987.8860368199,-1076278.445305518,0.0,255.4,0.0
2021-06-09,6704391.379996306,-398100.0611753343,6148368.46079234,-848757.3120590919,-1003390.5543771952,0.0,176.0,0.0
2021-06-10,6780013.229995825,-469394.747768526,6144982.592898215,-1004922.2207109388,-834397.0481218153,0.0,97.2,0.0
2021-06-11,7945214.419994601,-531307.7856193824,6141596.725004092,-1037198.8946906312,1504795.451138202,0.0,139.7,0.0
2021-06-12,7694101.429995084,-582381.3619479346,6138210.8571099695,-976400.155326118,1685138.3378310876,0.0,173.29999999999995,0.0
2021-06-13,8767214.78999372,-621425.0200833712,6134824.989215844,-875746.4380237515,707253.9695678145,0.0,178.0,0.0
2021-06-14,7010282.669995592,-647546.5133669801,6131439.12132172,-784294.5923880386,-983121.7107279672,0.0,183.20000000000002,0.0
2021-06-15,7808879.049994057,-660175.8491875998,6128053.253427597,-740755.6044109776,-1076278.4453060045,0.0,141.9,0.0
2021-06-16,7965382.639993831,-659081.8660340001,6124667.385533473,-748471.7181899836,-1003390.5543786522,0.0,192.99999999999997,0.0
2021-06-17,8148165.13999348,-644380.8588124418,6121281.517639349,-727439.5305060693,-834397.0481253439,0.0,152.29999999999998,0.0
2021-06-18,9637002.039991265,-616536.9545154488,6117895.649745224,-504187.0117806786,1504795.4511323532,0.0,202.49999999999997,0.0
2021-06-19,10204118.989990942,-576354.1371076915,6114509.781851101,95884.80037554486,1685138.3378302057,0.0,182.3,0.0
2021-06-20,8239648.789993668,-524960.0225793021,6111123.913956977,1079331.1028509578,707253.9695675395,0.0,252.99999999999997,0.0
2021-06-21,6851125.809995847,-463781.6873891339,6107738.046062853,2171868.8748871475,-983121.7107279914,0.0,198.79999999999995,0.0
2021-06-22,5731293.69999762,-394514.051081387,6104352.178168729,2899539.7136131045,-1076278.4453043514,0.0,160.0,0.0
2021-06-23,3725041.669999792,-319081.50155734015,6100966.310274606,2863842.3507749327,-1003390.5543764228,0.0,48.099999999999994,0.0
2021-06-24,3974247.78999968,-239593.6246073241,6097580.442380482,2032858.303461733,-834397.0481246286,0.0,141.6,0.0
2021-06-25,4391342.669999596,-158296.05322307016,6094194.574486357,815506.156163771,1504795.4511337394,0.0,171.39999999999998,0.0
