ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-06-06,11515400.800000716,-1999076.458196993,11503766.622250522,-454658.6959613208,2657445.0773667637,0.0,0.0,307.84392800000006,0.0,0.0,0.0
2021-06-07,8925755.360000988,-2210434.585321042,11506149.838860068,-282317.3316214309,-833302.8633917035,0.0,0.0,288.55228,0.0,0.0,0.0
2021-06-08,7824033.280000565,-2385542.530087751,11508533.05546961,-313748.0188199934,-1761398.5412215188,0.0,0.0,302.64009599999997,0.0,0.0,0.0
2021-06-09,7807351.8400005195,-2519744.136445136,11510916.272079151,-612837.4295509452,-1873894.5315135096,0.0,0.0,295.709206,0.0,0.0,0.0
2021-06-10,8434670.400000481,-2609355.7890859214,11513299.488688696,-920247.3883002198,-1410079.2655059148,0.0,0.0,301.34748399999995,0.0,0.0,0.0
2021-06-11,9150025.600000612,-2651772.1200299133,11515682.70529824,-958366.2598588069,951556.2990952072,0.0,0.0,307.97524,0.0,0.0,0.0
2021-06-12,9452977.92000065,-2645544.2938357983,11518065.921907784,-747694.7117848166,2269673.825171927,0.0,0.0,295.599114,0.0,0.0,0.0
2021-06-13,10870109.120000891,-2590428.636469052,11520449.138517328,-594431.176737271,2657445.0773650547,0.0,0.0,312.932274,0.0,0.0,0.0
2021-06-14,9071766.720000824,-2487404.1662129997,11522832.355126867,-751730.4459087483,-833302.863393098,0.0,0.0,313.87513,0.0,0.0,0.0
2021-06-15,8200236.000000554,-2338658.418393665,11525215.571736414,-1103990.1957158183,-1761398.54122254,0.0,0.0,313.27718799999997,0.0,0.0,0.0
2021-06-16,7958474.720000482,-2147541.805836601,11527598.788345955,-1219807.951792312,-1873894.5315158125,0.0,0.0,306.49965199999997,0.0,0.0,0.0
2021-06-17,8812650.560000595,-1918491.60057278,11529982.0049555,-757310.826213578,-1410079.265507121,0.0,0.0,308.0775560000001,0.0,0.0,0.0
2021-06-18,10155103.520000124,-1656927.4360041511,11532365.221565044,160871.0014425236,951556.299087628,0.0,0.0,310.52432200000004,0.0,0.0,0.0
2021-06-19,10570008.80000066,-1369120.9903113267,11534748.438174589,986456.923208033,2269673.825173434,0.0,0.0,297.02632600000004,0.0,0.0,0.0
2021-06-20,9998850.720000492,-1062043.2004417763,11537131.65478413,1198360.0998248982,2657445.0773640173,0.0,0.0,299.43399800000003,0.0,0.0,0.0
2021-06-21,9085426.880000426,-743192.952871083,11539514.871393677,764355.4461772142,-833302.8633944924,0.0,0.0,312.903642,0.0,0.0,0.0
2021-06-22,7975833.280000491,-420411.6864537263,11541898.088003216,175866.75139774414,-1761398.5412187,0.0,0.0,295.56666200000006,0.0,0.0,0.0
2021-06-23,11881303.200000733,-101688.71090572688,11544281.30461276,8280.121224501672,-1873894.531511376,0.0,0.0,313.52231600000005,0.0,0.0,0.0
2021-06-24,13211277.280000752,205037.7176874269,11546664.521222305,405044.89448075,-1410079.265507026,0.0,0.0,294.55621800000006,0.0,0.0,0.0
2021-06-25,14524426.40000137,492078.42149408656,11549047.737831848,962189.9919489736,951556.2990899116,0.0,0.0,305.47559,0.0,0.0,0.0
2021-06-26,14794987.36000144,752185.3199933392,11551430.95444139,1119694.8666837804,2269673.8251741123,0.0,0.0,311.11977200000007,0.0,0.0,0.0
2021-06-27,15329238.720001718,978732.5116464924,11553814.171050934,693100.7932580849,2657445.077361638,0.0,0.0,309.866276,0.0,0.0,0.0
2021-06-28,13058943.680000938,1165881.7916971417,11556197.387660475,49073.82569289917,-833302.8633876895,140137.29079872763,0.0,312.84355199999993,0.0,0.0,0.0
2021-06-29,11900601.120000746,1308728.407079417,11558580.604270022,-235459.53854147464,-1761398.541222722,0.0,0.0,301.16056,0.0,0.0,0.0
2021-06-30,12019019.840000812,1403423.3867975364,11558295.430175291,92232.52345452685,-1873894.5315136784,0.0,0.0,311.17709400000007,0.0,0.0,0.0
2021-07-01,13701206.72000057,1447269.417896201,11558010.256080562,730631.4689376357,-1410079.265506931,0.0,0.0,708.6969719999998,0.0,0.0,0.0
2021-07-02,15675567.200001385,1438787.945492759,11557725.081985831,1103450.1083008444,951556.2990921952,0.0,0.0,939.137956,0.0,0.0,0.0
2021-07-03,15846639.360001316,1377755.9403786084,11557439.907891104,876586.3433887007,2269673.8251708443,0.0,0.0,732.1472739999999,0.0,0.0,0.0
2021-07-04,11494925.28000018,1265211.5781229388,11557154.733796371,230950.4814671035,2657445.0773606007,0.0,0.0,544.938322,0.0,0.0,0.0
2021-07-05,11536303.200000532,1103428.8873996057,11556869.559701644,-343378.84396418376,-833302.8633890842,57077.62905063038,0.0,779.8399219999998,0.0,0.0,0.0
2021-07-06,12118659.520000745,895862.2301081087,11556584.385606913,-510416.7231388848,-1761398.5412207416,0.0,0.0,428.938742,0.0,0.0,0.0
2021-07-07,10980096.96000074,647062.2499322571,11556299.211512184,-361446.5308131726,-1873894.5315126115,0.0,0.0,243.29703399999997,0.0,0.0,0.0
2021-07-08,11791489.120000508,362565.6486804065,11556014.037417457,-259336.36857781996,-1410079.2655068368,0.0,0.0,246.21346200000002,0.0,0.0,0.0
2021-07-09,12848668.480000801,48761.801725508216,11555728.863322726,-440926.72312577,951556.299092314,0.0,0.0,243.72839400000004,0.0,0.0,0.0
2021-07-10,13779627.520000482,-287260.2115814628,11555443.689227996,-787138.983689207,2269673.825170693,0.0,0.0,250.65991400000001,0.0,0.0,0.0
2021-07-11,15095076.640000634,-637880.1240336653,11555158.515133264,-980605.447331326,2657445.0773595627,0.0,0.0,253.35563799999994,0.0,0.0,0.0
2021-07-12,12129541.280000616,-995126.1553801948,11554873.341038538,-868698.852376365,-833302.8633904788,0.0,0.0,251.55658600000004,0.0,0.0,0.0
2021-07-13,11256354.560000801,-1350861.2298204454,11554588.166943807,-641916.8946058305,-1761398.5412217623,0.0,0.0,251.85883799999996,0.0,0.0,0.0
2021-07-14,11093521.92000053,-1696971.018054064,11554302.992849078,-631201.674536456,-1873894.531513196,0.0,0.0,248.18216400000006,0.0,0.0,0.0
2021-07-15,12227859.839999858,-2025549.11043766,11554017.818754349,-926758.1193125822,-1410079.265508043,0.0,0.0,263.102712,0.0,0.0,0.0
