ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,10297292.089998938,-2836380.709554182,11423789.294297569,190452.7878798331,-12732.819765365146,0.0,262.7388940000001,0.0,0.0
2021-06-07,10357281.469998974,-2901423.7552703,11433434.332905052,113956.4090643387,26870.99581991095,0.0,242.335572,0.0,0.0
2021-06-08,10061421.59999899,-2966876.9999368847,11443079.371512536,-34526.37804010902,-275468.45851136296,0.0,235.87797799999996,0.0,0.0
2021-06-09,9905339.67999901,-3031492.109321054,11452724.41012002,-138684.1318612886,-314107.17506040185,0.0,237.56069600000004,0.0,0.0
2021-06-10,10041537.439999063,-3094036.6579701183,11462369.448727503,-94286.74965293112,-261915.12660435788,0.0,248.42998,0.0,0.0
2021-06-11,10044839.679999053,-3153333.8784590694,11472014.487334987,105116.94451413635,401083.6955143532,0.0,250.89652,0.0,0.0
2021-06-12,9662110.90999913,-3208300.298662385,11481659.52594247,361619.5327506241,436268.88861041504,0.0,249.34627799999998,0.0,0.0
2021-06-13,9694133.919999067,-3257980.078604477,11491304.564549956,544717.0609462877,-12732.819765720982,0.0,245.88009,0.0,0.0
2021-06-14,9915175.679999078,-3301574.9773838744,11500949.603157438,577671.9716034386,26870.99581998387,0.0,247.01816200000002,0.0,0.0
2021-06-15,9689849.119999073,-3338469.0318506933,11510594.641764922,472563.2371481025,-275468.45851154224,0.0,257.40500399999996,0.0,0.0
2021-06-16,9130154.399999235,-3368247.2070838395,11520239.680372404,300397.696941779,-314107.1750602405,0.0,253.59841200000005,0.0,0.0
2021-06-17,9017579.039999237,-3390707.4783277363,11529884.718979888,135754.08449489225,-261915.12660658,0.0,233.02647599999997,0.0,0.0
2021-06-18,9376224.639999175,-3405866.0184686044,11539529.757587371,22827.46359155784,401083.69551282254,0.0,256.57258199999995,0.0,0.0
2021-06-19,9241346.879999198,-3413955.3874450168,11549174.796194851,-25509.88256123045,436268.888609609,0.0,247.32312800000005,0.0,0.0
2021-06-20,8596188.63999933,-3415415.8431690885,11558819.83480234,-18526.99007238874,-12732.819765452174,0.0,247.578736,0.0,0.0
2021-06-21,8758606.239999287,-3410880.110589748,11568464.873409824,10708.948280479484,26870.99582005681,0.0,227.35259000000002,0.0,0.0
2021-06-22,9065423.199999243,-3401152.149671688,11578109.912017304,1900.0406400495567,-275468.45851074083,0.0,259.521638,0.0,0.0
2021-06-23,8854103.039999075,-3387180.648094215,11587754.950624788,-111169.43309898264,-314107.17506070726,0.0,255.25075400000003,0.0,0.0
2021-06-24,9089106.48999906,-3370028.124676775,11597399.989232272,-349714.6758224945,-261915.12660605367,0.0,239.510862,0.0,0.0
2021-06-25,9267867.999999048,-3350836.660249288,11607045.027839754,-646118.948423504,401083.6955129528,0.0,241.63337800000002,0.0,0.0
2021-06-26,9073998.879999064,-3330791.3699443806,11616690.066447238,-857752.0342381458,436268.8886095672,0.0,234.232114,0.0,0.0
2021-06-27,8919979.359999068,-3311082.792073212,11626335.10505472,-849723.9246264712,-12732.819766432538,0.0,230.14561799999996,0.0,0.0
2021-06-28,8844068.319999086,-3292869.3921752847,11635980.143662203,-593964.5716807971,26870.995819819687,-294334.1892667116,246.77769999999998,0.0,0.0
2021-06-29,8853246.71999911,-3277241.366176844,11645625.18226969,-204016.4935467252,-275468.4585109462,0.0,226.00288999999998,0.0,0.0
2021-06-30,8804175.199999105,-3265186.8745856383,11653221.093893372,132711.36265295075,-314107.17506054585,0.0,267.567834,0.0,0.0
2021-07-01,9510856.639999015,-3257561.7523208265,11660817.005517054,280359.0085462719,-261915.12660552736,0.0,557.5164200000002,0.0,0.0
2021-07-02,10110206.399998901,-3255063.6191193787,11668412.917140735,240874.91835625272,401083.695513083,0.0,938.5097099999998,0.0,0.0
2021-07-03,9336595.359998982,-3258211.167567071,11676008.82876442,132960.5613633629,436268.8886099493,0.0,689.1379720000001,0.0,0.0
2021-07-04,7232498.5599993775,-3267329.2345214984,11683604.740388105,83871.78433294929,-12732.819766163786,0.0,563.4830760000001,0.0,0.0
2021-07-05,8408900.319999168,-3282540.072675973,11691200.652011786,126474.49575374112,26870.995819892643,-137142.83157606496,657.85462,0.0,0.0
2021-07-06,9160203.519999003,-3303761.038318484,11698796.563635468,186660.100198549,-275468.45851109934,0.0,382.28508600000004,0.0,0.0
2021-07-07,9410347.419999015,-3330708.705435119,11706392.475259151,165998.26869293387,-314107.17506069853,0.0,222.771076,0.0,0.0
2021-07-08,9290823.519999044,-3362909.211729479,11713988.386882834,42460.289309781605,-261915.12660500105,0.0,226.28961000000004,0.0,0.0
2021-07-09,9478394.559998967,-3399714.445360968,11721584.298506515,-100220.37774341392,401083.695513966,0.0,222.46256,0.0,0.0
