ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,62693687.039977215,9719673.31680509,44792044.69290883,-1814080.9188493332,2981629.8809766187,0.0,740.9667599999999,1147.86,0.0
2021-06-07,50418414.07996363,9160512.055907045,44799970.16495481,-2615294.579140263,-5975965.095968945,0.0,732.56237,1145.2279999999998,0.0
2021-06-08,48876913.59997652,8732191.692715155,44807895.63700079,-3052752.984875466,-5632515.595201661,0.0,725.2116679999999,1135.736,0.0
2021-06-09,50115693.59997903,8442989.384016167,44815821.10904677,-3208905.367696222,-4325802.485959762,0.0,739.622978,1135.7920000000001,0.0
2021-06-10,56318591.199969076,8297488.038205525,44823746.58109275,-3033899.233154213,-2239380.0232802406,0.0,745.885548,1142.96,0.0
2021-06-11,65203929.11997631,8296483.845087779,44831672.05313873,-2468181.7904944527,5580211.154729713,0.0,747.172134,1137.192,0.0
2021-06-12,68048859.83996113,8436992.48804712,44839597.52518471,-1612350.563838231,9611822.16473383,0.0,724.869562,1129.2959999999998,0.0
2021-06-13,62134161.439962886,8712353.29370971,44847522.997230686,-750259.8744786349,2981629.8809688143,0.0,742.9291859999998,1136.6600000000003,0.0
2021-06-14,52837929.43996778,9112427.93547462,44855448.46927667,-190408.3580915653,-5975965.09597178,0.0,739.4055140000002,1136.744,0.0
2021-06-15,51263176.47996454,9623887.777300209,44863373.941322654,-68103.45859073858,-5632515.595200467,0.0,732.974456,1133.216,0.0
2021-06-16,54396703.83997103,10230581.5931207,44871299.41336863,-277054.2159214701,-4325802.485960959,0.0,720.751842,1129.2400000000002,0.0
2021-06-17,61567971.359965585,10913973.289125573,44879224.88541461,-566354.0506820328,-2239380.023294254,0.0,731.047036,1131.1440000000002,0.0
2021-06-18,72514775.35998225,11653637.448068338,44887150.35746058,-693772.5291465971,5580211.1547016045,0.0,722.7555920000001,1129.184,0.0
2021-06-19,79342923.35994852,12427799.05497056,44895075.82950657,-510821.5172516904,9611822.16473353,0.0,719.816222,1121.7920000000001,0.0
2021-06-20,58631121.599978745,13213902.690036653,44903001.30155254,36038.16267941346,2981629.880960947,0.0,732.9868959999999,1121.0359999999998,0.0
2021-06-21,47803840.31997944,13989195.814508084,44910926.77359853,906459.0617315292,-5975965.095974617,0.0,724.6675919999998,1127.8120000000001,0.0
2021-06-22,49083983.51996617,14731310.5431566,44918852.245644495,1916387.3361147668,-5632515.595206308,0.0,716.9560239999998,1118.908,0.0
2021-06-23,49402612.639967956,15418828.496760126,44926777.71769048,2703192.093677758,-4325802.485957584,0.0,726.26396,1117.5639999999999,0.0
2021-06-24,54025248.320044026,16031813.949277015,44934703.18973646,2830921.3179720533,-2239380.0232912754,0.0,729.1885779999999,1118.292,0.0
2021-06-25,60977761.919968426,16552301.506773287,44942628.66178244,2059337.549654947,5580211.154708365,0.0,722.183034,1114.96,0.0
2021-06-26,62361062.87992294,16964725.94635989,44950554.13382842,610323.9678529935,9611822.164732149,0.0,723.7117700000001,1092.672,0.0
2021-06-27,58628475.68003368,17256283.56046839,44958479.6058744,-819431.8922525349,2981629.880953207,0.0,729.724918,0.0,51.2
2021-06-28,51632769.91998541,17417216.344332896,44966405.07792038,-1404701.5769762506,-5975965.095961588,6796671.8746472895,711.6432160000002,0.0,147.20000000000002
2021-06-29,52692959.52000396,17441012.573062234,44974330.54996636,-713369.0044109332,-5632515.595206917,0.0,715.9744599999998,0.0,336.0
2021-06-30,61843978.72000789,17324519.67580635,44982256.061730094,965953.3446338916,-4325802.48595878,0.0,702.38652,0.0,992.0
2021-07-01,78889278.72013184,17067967.759861037,44990181.57349383,2756939.3466699426,-2239380.0232882965,0.0,2166.51138,0.0,1555.1999999999996
2021-07-02,111448192.80010276,16674904.597648015,44998107.08525757,3720894.714863775,5580211.154715124,0.0,3731.5631879999996,0.0,2457.6
2021-07-03,126863547.20054159,16152045.295112813,45006032.5970213,3406914.8375905445,9611822.164738106,0.0,2835.3842319999994,0.0,2416.0
2021-07-04,105017819.68027726,15509042.144026358,45013958.10878504,2046267.007331321,2981629.880945339,0.0,1814.0039960000004,0.0,1331.1999999999998
2021-07-05,47229793.43995645,14758182.25989751,45021883.62054878,294648.1849338507,-5975965.095964424,-8041460.032171408,1853.044266,0.0,1654.4
2021-07-06,42730010.87995869,13914022.465124136,45029809.132312514,-1232673.267602639,-5632515.595203918,0.0,955.682828,0.0,1939.1999999999998
2021-07-07,45881029.28001231,12992972.443547126,45037734.64407624,-2269639.1970053725,-4325802.485957689,0.0,328.3837720000001,0.0,1801.5999999999995
2021-07-08,50101323.19998268,12012838.42777638,45045660.15583998,-2871083.7146082446,-2239380.023285318,0.0,312.61535599999996,0.0,1951.9999999999993
2021-07-09,58935623.19996272,10992340.55320738,45053585.66760372,-3166653.342516423,5580211.15472,0.0,326.01735399999995,0.0,2111.9999999999995
2021-07-10,60255558.240165174,9950617.503146108,45061511.17936745,-3168620.851937437,9611822.164735643,0.0,315.212882,0.0,2169.6
2021-07-11,54872001.59995591,8906732.168874107,45069436.69113119,-2798650.980741268,2981629.880937471,0.0,312.07731400000006,0.0,2118.4
2021-07-12,46103746.55998045,7879191.759371162,45077362.202894926,-2061900.6249626111,-5975965.09596726,0.0,312.60699,0.0,1542.4
2021-07-13,45492204.15998312,6885495.131844446,45085287.71465866,-1160765.712775029,-5632515.595202725,0.0,310.12654999999995,0.0,1539.2000000000003
2021-07-14,45308671.51998178,5941719.100180276,45093213.2264224,-418323.0495390772,-4325802.485959737,0.0,307.22091400000005,1295.9519999999998,1398.4
2021-07-15,51250193.439988956,5062154.148392874,45101138.738186136,-76031.94863886287,-2239380.023299332,0.0,305.72312,1301.7480000000003,1737.6000000000001
2021-07-16,55925416.31997151,4258998.372812649,45109064.24994987,-145362.69506215665,5580211.154728644,0.0,323.20815000000005,1293.096,1564.8000000000004
2021-07-17,58948087.36008575,3542116.650670813,45116989.76171361,-428521.755733934,9611822.16473534,0.0,309.68090400000006,1289.0640000000003,1542.4000000000003
2021-07-18,54378745.43999278,2918870.039499149,45124915.27347735,-662050.1276525613,2981629.880929732,0.0,316.67631200000005,1302.728,1651.2000000000005
2021-07-19,45140315.19996968,2394018.312138831,45132840.78524108,-646425.5199694273,-5975965.095953268,0.0,314.251442,1291.388,1449.6000000000001
2021-07-20,41812384.479957014,1969696.388213461,45140766.29700482,-282919.14014832064,-5632515.595199727,0.0,316.723132,1278.2,1171.2000000000003
2021-07-21,39394808.48000974,1645463.2978196982,45148691.80876856,438135.2721501744,-4325802.485958646,0.0,315.37527,1281.728,1100.8
2021-07-22,42827821.599986166,1418420.2684473677,45156617.32053229,1412759.1016955147,-2239380.0232940405,0.0,313.793232,1288.532,1171.2
2021-07-23,49877719.03998345,1283392.6201267338,45164542.83229603,2365770.9334945604,5580211.154733521,0.0,305.621042,1220.5480000000002,1280.0
2021-07-24,50084884.64000562,1233168.4399859256,45172468.344059765,2872815.5437069964,9611822.164733956,0.0,306.94328999999993,1271.3400000000001,1235.2000000000003
2021-07-25,44905637.919985734,1258785.5329201291,45180393.8558235,2556432.83518488,2981629.880964924,0.0,307.617498,1082.4239999999998,1235.2
2021-07-26,37537784.80000398,1349856.9492131823,45188319.36758724,1384660.9960399792,-5975965.095957069,0.0,0.0,847.4480000000002,1199.9999999999998
2021-07-27,35720611.840005346,1494924.5034511092,45196244.879350975,-161618.54838296797,-5632515.595200336,0.0,0.0,0.0,1100.8
2021-07-28,36493963.84001504,1681829.142850433,45204170.39111471,-1259567.575719759,-4325802.485959842,0.0,0.0,28.727999999999998,1110.4
2021-07-29,40306234.0799892,1898086.807962149,45212095.90287845,-1218404.6801447344,-2239380.0232933736,0.0,282.409074,1289.3160000000003,1302.4000000000005
2021-07-30,49005448.640023075,2131258.5555803096,45220021.414642185,48720.821481422114,5580211.154705412,0.0,289.291424,1287.0480000000002,1520.0
2021-07-31,51476899.839992136,2369304.172468698,45227946.92640592,1912129.4838531388,9611822.164732575,0.0,279.987962,1168.6639999999998,1552.0000000000005
2021-08-01,46886891.039987996,2600909.2803158024,45235872.43816966,3386572.812839081,2981629.88095712,0.0,684.413382,1306.732,1801.6000000000001
2021-08-02,38527292.64000675,2815776.9882184262,45243797.9499334,3724068.704241423,-5975965.09595894,0.0,736.0394559999999,1300.292,176.0
2021-08-03,37447212.63999507,3004876.4527013395,45251723.46169713,2821016.887666697,-5632515.59519734,0.0,731.799106,1294.804,262.40000000000003
2021-08-04,38075094.239989996,3160642.2129124906,45259648.97346087,1174778.3997199642,-4325802.485956469,0.0,720.9151519999999,1290.4640000000002,479.99999999999994
2021-08-05,41422849.11998919,3277119.8313506097,45267574.485224605,-523184.0687846651,-2239380.0232880823,0.0,728.44239,1296.344,1068.8
2021-08-06,46415431.52003723,3350055.134896224,45275499.99698834,-1814080.918846246,5580211.154712173,0.0,712.20884,1295.9240000000002,1910.4
2021-08-07,48019775.360018015,3376926.1617982653,45283425.50875208,-2615294.579138983,9611822.164731191,0.0,713.893314,1163.848,1836.8000000000004
2021-08-08,44859056.479979806,3356918.721283804,45291351.02051581,-3052752.984875008,2981629.880949251,0.0,540.687134,1149.344,2096.0
2021-08-09,37154255.199996956,3290848.208713907,45299276.53227955,-3208905.367695615,-5975965.0959627405,0.0,717.624568,1298.388,1993.6000000000001
2021-08-10,35504069.59999868,3181031.9382513347,45307202.04404329,-3033899.2331505357,-5632515.595204981,0.0,712.54535,1292.7040000000002,1680.0
2021-08-11,34420633.43999645,3031117.708887069,45315127.555807024,-2468181.79049397,-4325802.485957664,0.0,707.3997100000003,1289.2040000000002,2086.3999999999996
2021-08-12,37509691.680006355,2845875.5660094344,45323053.06757076,-1612350.563839003,-2239380.023285103,0.0,720.9901679999999,1288.616,1843.2
2021-08-13,43598719.040035695,2630960.7240855754,45330978.5793345,-750259.874478471,5580211.154718933,0.0,716.291386,1295.8679999999997,1798.3999999999996
2021-08-14,47127290.72002278,2392656.3490845114,45338904.09109823,-190408.3580926245,9611822.16473089,0.0,716.8014679999999,1289.3439999999998,1804.7999999999995
