ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,35295375.829990126,-6324382.914767255,34581995.56304924,-1845753.5880218504,4879242.87599391,0.0,2856.3334299999997,0.0,0.0
2021-06-07,29538645.1999947,-6618900.691393393,34570700.351670206,-806909.7462446816,-3061152.5524601447,0.0,2765.24791,0.0,0.0
2021-06-08,28230435.669995748,-6857964.383204591,34559405.14029117,-286849.45230042003,-4160028.04097908,0.0,2706.8437400000003,0.0,0.0
2021-06-09,27629320.459996708,-7037764.045476676,34548109.92891214,-504558.52158548345,-4139350.994582492,0.0,2648.8922600000005,0.0,0.0
2021-06-10,28228180.04999643,-7156000.512964717,34536814.71753311,-884979.9086094043,-3675109.982701287,0.0,2201.21846,0.0,0.0
2021-06-11,29314807.659995463,-7211975.652414956,34525519.506154075,-716349.6212531468,4875185.104648779,0.0,2214.44087,0.0,0.0
2021-06-12,28195039.68999549,-7206635.214416448,34514224.29477505,68132.40973045296,5281213.59009167,0.0,2104.86084,0.0,0.0
2021-06-13,32763097.689992853,-7142561.838489175,34502929.08339601,775035.882613547,4879242.875988109,0.0,2132.23983,0.0,0.0
2021-06-14,27262495.729996778,-7023917.260265018,34491633.872016974,633714.4265266407,-3061152.552460857,0.0,2236.16819,0.0,0.0
2021-06-15,26542975.18999721,-6856334.322949305,34480338.660637945,-390753.2700173966,-4160028.040982479,0.0,2121.3281599999996,0.0,0.0
2021-06-16,24039606.799997702,-6646760.961138715,34469043.44925892,-1475119.390447884,-4139350.994591162,0.0,2171.9389300000003,0.0,0.0
2021-06-17,25373002.69999716,-6403259.855452895,34457748.23787988,-1667454.229941276,-3675109.982708607,0.0,2211.8801099999996,0.0,0.0
2021-06-18,26927201.9599964,-6134768.903939908,34446453.02650084,-791487.7791219129,4875185.104629192,0.0,2205.18722,0.0,0.0
2021-06-19,27579832.049995236,-5850828.975730159,34435157.815121815,350337.04410031985,5281213.5900908895,0.0,2022.1118000000001,0.0,0.0
2021-06-20,24939801.609996617,-5561286.560860597,34423862.60374278,701340.1683042487,4879242.875988529,0.0,2051.22239,0.0,0.0
2021-06-21,24417959.309996612,-5275979.870443719,34412567.39236374,-57500.70686814245,-3061152.552461569,0.0,2257.04424,0.0,0.0
2021-06-22,25573292.379993603,-5004417.640597241,34401272.18098471,-1180022.012975792,-4160028.040970232,0.0,2157.3952900000004,0.0,0.0
2021-06-23,32338130.32999269,-4755460.326684939,34389976.96960568,-1510823.6105899648,-4139350.99457654,0.0,2131.77365,0.0,0.0
2021-06-24,34057319.40999031,-4537013.523418681,34378681.75822665,-523250.3132693831,-3675109.982707482,0.0,2194.3196299999995,0.0,0.0
2021-06-25,37266386.12998541,-4355743.301779407,34367386.54684762,1216940.9141440983,4875185.104634747,0.0,2143.54445,0.0,0.0
2021-06-26,36657856.039984584,-4216822.714209445,34356091.33546858,2573356.354770303,5281213.590091144,0.0,2045.411,0.0,0.0
2021-06-27,38978540.959986836,-4123717.9934602818,34344796.124089554,2835286.0049365787,4879242.8759765085,0.0,2102.9040099999997,998.8439999999998,6.4
2021-06-28,33813530.27999203,-4078021.97371268,34333500.91271052,2255430.2166297897,-3061152.552455778,908601.0200589936,1978.0725100000002,991.3960000000002,81.4
2021-06-29,33569100.9499924,-4079341.020550557,34322205.70133148,1663115.797363056,-4160028.040985739,0.0,1990.13088,986.048,186.0
2021-06-30,35871467.789988644,-4125240.301036868,34304127.97320118,1579667.997728545,-4139350.9945852095,0.0,2106.8525999999997,985.292,389.50000000000006
2021-07-01,39375734.169983216,-4211250.59631451,34286050.24507088,1718475.3529653456,-3675109.982706359,0.0,6065.461870000001,989.5479999999999,891.9000000000002
2021-07-02,44596343.22997591,-4330938.101600778,34267972.51694058,1344619.8750948566,4875185.104640304,0.0,5625.603799999999,985.068,1351.2
2021-07-03,42240084.48998053,-4476036.822156572,34249894.788810275,110694.27042293806,5281213.590090259,0.0,2202.47268,974.2040000000001,1355.0
2021-07-04,29785182.71999425,-4636641.311198136,34231817.06067998,-1481266.25388345,4879242.875976927,0.0,2185.1430599999994,967.652,845.9
