ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,12330476.639998455,-566934.8794376892,10113381.802049194,-12522.945235315608,1816849.967755946,0.0,420.58405,0.0,0.0
2021-06-07,10137159.839999124,-579959.368726449,10112278.531725643,20719.02820523972,-47809.51396062943,0.0,479.68404999999996,0.0,0.0
2021-06-08,9325476.959999638,-589764.435704616,10111175.261402093,13646.86261046792,-770184.9644517412,0.0,504.66718,0.0,0.0
2021-06-09,9293858.399999853,-597627.1520562372,10110071.991078544,17447.377391717462,-964707.6266723296,0.0,378.49635,0.0,0.0
2021-06-10,9980597.92000004,-604813.826946722,10108968.720754992,54453.38959303886,-741913.1783621202,0.0,411.00566000000003,0.0,0.0
2021-06-11,9845891.519999992,-612533.7676175218,10107865.450431442,105272.0535604018,-34992.17556282407,0.0,410.90007,0.0,0.0
2021-06-12,10642773.439999135,-621894.9467249976,10106762.180107892,141314.69478184904,742757.4912505975,0.0,411.45952,0.0,0.0
2021-06-13,12078378.23999828,-633862.877076454,10105658.90978434,158190.48060105328,1816849.9677555645,0.0,374.7564000000001,0.0,0.0
2021-06-14,9958466.39999952,-649223.900334536,10104555.63946079,172416.60393563833,-47809.51396162137,0.0,338.11700999999994,0.0,0.0
2021-06-15,9037656.799999794,-668553.9685139529,10103452.36913724,190108.518938658,-770184.9644524994,0.0,425.9899899999999,0.0,0.0
2021-06-16,8117914.3999999175,-692193.8393501132,10102349.098813688,189260.50877499543,-964707.6266737636,0.0,376.37452999999994,0.0,0.0
2021-06-17,9211731.83999986,-720231.4234724661,10101245.82849014,141108.27720163795,-741913.1783609592,0.0,404.74614999999994,0.0,0.0
2021-06-18,9508549.599999897,-752491.817912705,10100142.558166588,48990.24159451055,-34992.175565442485,0.0,302.29061,0.0,0.0
2021-06-19,10450868.79999942,-788535.3426885367,10099039.28784304,-42313.64383403526,742757.4912522481,0.0,447.53723,0.0,0.0
2021-06-20,9623159.519999286,-827663.6710596206,10097936.017519489,-86439.37870419808,1816849.967755213,0.0,328.22130999999996,0.0,0.0
2021-06-21,8923654.079999983,-868933.9159992241,10096832.747195937,-89170.5889382698,-47809.51396261327,0.0,344.45165999999995,0.0,0.0
2021-06-22,8465468.319999924,-911180.3117441252,10095729.476872388,-116292.88551387338,-770184.9644495271,0.0,329.46687000000003,0.0,0.0
2021-06-23,7847036.9600001965,-953042.9162401296,10094626.206548836,-233638.3321722954,-964707.6266708528,0.0,399.08806,0.0,0.0
2021-06-24,8258328.480000003,-993002.5637386048,10093522.936225288,-426427.2835791564,-741913.1783613382,0.0,325.79488000000003,0.0,0.0
2021-06-25,8323869.280000145,-1029421.1221058146,10092419.665901735,-577500.8112027957,-34992.17556438378,0.0,307.87657999999993,0.0,0.0
2021-06-26,9147361.279999632,-1060585.9613361403,10091316.395578189,-541200.8454830685,742757.4912529622,0.0,400.66821,0.0,0.0
2021-06-27,9976840.639999008,-1084757.422272601,10090213.125254637,-263679.2023881084,1816849.9677548008,0.0,298.46924,0.0,0.0
2021-06-28,8485837.11999987,-1100217.9907401018,10089109.854931086,150778.86124688294,-47809.51395789068,-244764.2309504911,378.86946,0.0,10.5
2021-06-29,8222338.080000225,-1105321.8343208283,10088006.584607534,492335.24013785046,-770184.9644520411,0.0,405.37952999999993,0.0,24.0
2021-06-30,8011507.199999897,-1098543.348000195,10086903.64217739,585162.0056914393,-964707.626672287,0.0,361.75350000000003,0.0,44.25
2021-07-01,8774805.439999698,-1078523.3809652145,10085800.699747244,407134.201618792,-741913.1783617173,0.0,1244.41334,0.0,116.25
2021-07-02,9699659.359999279,-1044111.8790286732,10084697.757317096,96614.0474846338,-34992.17556332513,0.0,1035.25053,0.0,174.0
2021-07-03,8962886.559999868,-994405.773582574,10083594.814886948,-154908.37027978813,742757.4912495059,0.0,445.44633999999996,0.0,175.5
2021-07-04,6702476.000000118,-928781.07576161,10082491.872456804,-235095.5445300484,1816849.9677544488,0.0,445.59000000000003,0.0,113.25
2021-07-05,8330699.359999944,-846918.2899631156,10081388.930026658,-166272.1308516991,-47809.513958882686,-693825.4564094335,439.47699,0.0,147.75
2021-07-06,8283429.759999988,-748820.4395876998,10080285.98759651,-54091.07223620508,-770184.9644510436,0.0,297.2224999999999,0.0,145.5
2021-07-07,11161480.47999901,-634823.1947802921,10079183.045166364,11999.607032849828,-964707.6266715484,0.0,454.97500000000014,0.0,184.5
2021-07-08,11249476.63999886,-505596.8016067352,10078080.102736218,18894.07580805988,-741913.1783620964,0.0,430.15866000000005,0.0,192.0
2021-07-09,12131097.919997627,-362139.7286672069,10076977.160306072,11676.292142384424,-34992.17556398422,0.0,546.78394,0.0,240.0
