ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,20498420.639989406,-1839995.39038892,19913908.75932831,-1108250.7490384695,3239885.307244537,0.0,456.6000000000001,0.0
2021-06-07,16756235.999992035,-1956944.5264533255,19901042.842595104,-1200364.0242696584,-2035828.8488135429,0.0,437.8,0.0
2021-06-08,15526862.07999257,-2024342.5196701488,19888176.925861903,-1100880.487142591,-1754756.9643613102,0.0,420.20000000000005,0.0
2021-06-09,16524627.8399923,-2041439.8012439108,19875311.0091287,-865992.5893817864,-1413705.4130559908,0.0,358.20000000000005,0.0
2021-06-10,17351744.63999109,-2008733.692500416,19862445.0923955,-615509.5299653774,-1656353.9621121688,0.0,366.4,0.0
2021-06-11,18981200.799990296,-1927937.448372901,19849579.17566229,-453459.1760028541,640882.5183504809,0.0,368.99999999999994,0.0
2021-06-12,19751001.599988163,-1801915.718616504,19836713.258929096,-399550.0001251412,2979877.362748,0.0,365.3999999999999,0.0
2021-06-13,21458668.799987882,-1634588.6492491087,19823847.34219589,-393357.246708137,3239885.307241882,0.0,372.00000000000006,0.0
2021-06-14,17192614.079990923,-1430807.741460117,19810981.42546269,-367551.1884464034,-2035828.848815257,0.0,368.0,0.0
2021-06-15,15930841.439992366,-1196207.3815278627,19798115.508729488,-317885.91671008937,-1754756.9643614497,0.0,355.00000000000006,0.0
2021-06-16,15784734.39999166,-937036.629756914,19785249.59199629,-296185.7667465843,-1413705.4130595294,0.0,362.0,0.0
2021-06-17,17311945.439990744,-659976.3899811881,19772383.67526308,-326851.38831047097,-1656353.962108558,0.0,370.2,0.0
2021-06-18,22129742.55998501,-371947.4587875255,19759517.75852988,-329997.4011586909,640882.5183399125,0.0,361.00000000000006,0.0
2021-06-19,28703782.87999096,-79915.16483321408,19746651.84179668,-142499.58949626956,2979877.362751158,0.0,365.20000000000005,0.0
2021-06-20,21999194.559986427,209303.65145351767,19733785.92506348,355210.9129266165,3239885.3072390896,0.0,351.99999999999994,0.0
2021-06-21,14867089.599993318,489225.6993813688,19720920.008330274,1103000.1605337642,-2035828.8488169704,0.0,347.99999999999994,0.0
2021-06-22,14807495.679992672,753873.020462047,19708054.091597077,1839456.37556935,-1754756.9643617785,0.0,357.8,0.0
2021-06-23,16916363.839991257,997926.6264326832,19695188.17486387,2236121.8765504644,-1413705.4130534907,0.0,367.4,0.0
2021-06-24,18366519.3599881,1216857.723963643,19682322.258130662,2101413.796112608,-1656353.962109632,0.0,370.6,0.0
2021-06-25,20092844.15998628,1407032.9766468103,19669456.341397464,1505251.4906109653,640882.5183433567,0.0,376.2,0.0
2021-06-26,20654253.919984892,1565791.074854115,19656590.424664263,732772.5695727507,2979877.3627520464,0.0,373.59999999999997,0.0
2021-06-27,22337493.279983867,1691488.779012483,19643724.50793106,105472.04139207397,3239885.3072365737,0.0,379.4,0.0
2021-06-28,18164137.759990055,1783515.544422537,19630858.59119786,-197734.12729271495,-2035828.848808732,-331523.00512245507,374.3999999999999,10.5
2021-06-29,18560900.639988903,1842276.7969532104,19617992.67446465,-202135.1792392832,-1754756.9643656968,0.0,374.6,24.0
2021-06-30,19290162.5599881,1869146.8796605507,19600538.645580474,-65896.69124598069,-1413705.4130570283,0.0,385.79999999999995,44.25
2021-07-01,23262704.1599823,1866393.6017176367,19583084.616696294,43725.80720694283,-1656353.962110706,0.0,496.19999999999993,116.25
2021-07-02,32048207.359974407,1837077.1656147423,19565630.58781212,31509.68847542065,640882.5183468,0.0,600.1999999999999,174.0
2021-07-03,38355248.95997947,1784927.0010252278,19548176.558927946,-119821.25017761896,2979877.3627474667,0.0,472.79999999999995,175.5
2021-07-04,25292481.75998011,1714200.6717682092,19530722.53004377,-381900.47499256633,3239885.30723378,0.0,290.79999999999995,113.25
2021-07-05,16297465.119993294,1629529.5269809952,19513268.501159582,-701074.2524576263,-2035828.848810446,-2108912.18719528,322.2,147.75
2021-07-06,17139956.95999057,1535756.1245008449,19495814.47227541,-998073.9213279143,-1754756.964362058,0.0,400.59999999999997,145.5
2021-07-07,21281053.599986725,1437768.653239648,19478360.44339123,-1178070.1716568184,-1413705.4130557782,0.0,504.4,184.5
2021-07-08,23104467.839983407,1340337.617133838,19460906.414507054,-1173214.1982340985,-1656353.9621117802,0.0,520.1999999999999,192.0
2021-07-09,26385106.879978538,1247959.9155221386,19443452.385622878,-993576.9784876924,640882.5183462924,0.0,448.4,240.0
2021-07-10,28069693.119976327,1164715.1687112742,19425998.35673869,-734777.3769176627,2979877.362746085,0.0,423.20000000000005,249.75
2021-07-11,29834219.99997539,1094138.702521512,19408544.32785452,-519833.3131403772,3239885.3072309867,0.0,508.6,300.75
2021-07-12,23925218.239983927,1039115.0359222298,19391090.29897034,-415532.83596815896,-2035828.8488121603,0.0,412.7999999999999,163.5
2021-07-13,23703851.519984055,1001795.0300292732,19373636.27008616,-395598.94071638375,-1754756.9643621978,0.0,360.20000000000005,175.5
2021-07-14,23342942.879983883,983539.076180739,19356182.241201986,-385049.1299754842,-1413705.4130554106,0.0,411.80000000000007,150.0
2021-07-15,25534018.55998186,984887.8505990176,19338728.21231781,-343032.3463506288,-1656353.9621081697,0.0,470.80000000000007,165.0
2021-07-16,27929205.439977665,1005561.269663614,19321274.18343363,-300168.51668399863,640882.5183536878,0.0,450.9,197.25
2021-07-17,29884194.399974633,1044485.3714094948,19303820.154549453,-307145.15022752364,2979877.362749243,0.0,474.6000000000001,219.0
2021-07-18,30734554.079974752,1099845.9535811583,19286366.125665277,-341222.9979357327,3239885.307228471,0.0,513.5999999999999,240.75
2021-07-19,24532528.63998427,1169166.944682073,19268912.096781094,-270459.19453657913,-2035828.848801901,0.0,447.0,150.0
2021-07-20,22585142.55998683,1249410.6982591243,19251458.06789692,66074.23028179452,-1754756.9643585589,0.0,393.59999999999997,121.5
2021-07-21,18360830.079993084,1337096.7068053288,19234004.03901274,710362.4391188724,-1413705.4130541603,0.0,333.8,156.0
2021-07-22,18970569.279992744,1428434.651542989,19216550.01012856,1494011.0993599575,-1656353.9621043936,0.0,349.79999999999995,154.5
2021-07-23,21497967.5199906,1519467.2560254554,19199095.981244385,2097639.860458406,640882.51835318,0.0,335.2,205.5
2021-07-24,22374190.239989337,1606218.108811569,19181641.952360205,2237294.097816292,2979877.3627501307,0.0,361.4,231.75
2021-07-25,24036379.999989346,1684839.4727097242,19164187.92347603,1846514.8083367303,3239885.3072404712,0.0,311.2,249.75
2021-07-26,18941817.439993057,1751755.109792526,19146733.894591853,1119346.9471818276,-2035828.8488056357,0.0,41.00000000000001,175.5
2021-07-27,17942023.999993984,1803793.3220710908,19129279.865707677,384986.7420048626,-1754756.9643624767,0.0,0.0,157.5
2021-07-28,17675772.319993522,1838305.731953403,19111825.836823493,-89534.51384896216,-1413705.4130576986,0.0,4.6000000000000005,154.5
2021-07-29,18656010.239992727,1853267.794179652,19094371.80793932,-229049.77469317787,-1656353.9621103175,0.0,341.6,164.25
2021-07-30,21017547.199990366,1847357.627194465,19076917.77905514,-140025.75244186007,640882.5183426113,0.0,385.5999999999999,217.5
2021-07-31,23359064.959990267,1820010.458064783,19059463.75017096,280.6473631162843,2979877.36275102,0.0,430.40000000000003,279.75
2021-08-01,25319169.11998878,1771446.769077527,19042009.72128678,55414.97795928649,3239885.3072378165,0.0,467.80000000000007,371.25
2021-08-02,19934177.279991925,1702673.0909465824,19024555.692402605,-27847.68803305873,-2035828.8488053293,0.0,366.2000000000001,17.25
2021-08-03,19502943.839992315,1615455.2803121975,19007101.66351843,-239821.3169418594,-1754756.9643588385,0.0,370.2,40.5
2021-08-04,18942354.71999392,1512265.0197814982,18989647.63463425,-538677.3175516282,-1413705.4130516597,0.0,392.59999999999997,129.75
2021-08-05,19278905.439992722,1396201.158668937,18972193.605750076,-858252.1042544887,-1656353.9621065415,0.0,400.6,243.75
2021-08-06,20928932.7999924,1270888.3440574224,18954739.576865893,-1108250.749038079,640882.5183460556,0.0,432.40000000000003,345.75
2021-08-07,23959195.67999027,1140356.1483683488,18937285.54798172,-1200364.0242693406,2979877.362751908,0.0,419.8,494.25
2021-08-08,26834578.399988927,1008902.5571226391,18919831.51909754,-1100880.4871423405,3239885.307235024,0.0,387.99999999999994,619.5
2021-08-09,20620971.999991488,880946.2178837989,18902377.49021336,-865992.58938169,-2035828.848809064,0.0,407.5999999999999,440.25
