ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,23747065.759997573,352301.1404883184,17533305.239946477,224738.27494371752,1413435.928089983,0.0,175.19631000000004,0.0,0.0
2021-06-07,20339470.399999946,311846.204000396,17512991.848063245,485386.2558006406,-2039193.92463201,0.0,158.41148600000002,0.0,0.0
2021-06-08,19292753.28000047,296439.5486268006,17492678.456180017,193573.30169539645,-2459090.0010134107,0.0,151.85133800000006,0.0,0.0
2021-06-09,19287961.920000408,307027.0543708282,17472365.06429679,-48038.818226576535,-1973342.97789547,0.0,123.276656,0.0,0.0
2021-06-10,19790384.95999955,343770.9758250816,17452051.672413558,142992.44024505626,-1491457.3107819986,0.0,120.818284,0.0,0.0
2021-06-11,20996538.079999644,406030.60718688753,17431738.280530326,654784.2912976524,3415753.973287392,0.0,120.78813,0.0,0.0
2021-06-12,20855358.559999533,492366.49726200895,17411424.888647098,1089740.441293404,3133894.3129574903,0.0,119.649998,0.0,0.0
2021-06-13,23050298.23999854,600568.3595074848,17391111.496763866,1169976.3338723206,1413435.928086411,0.0,117.67007999999998,0.0,0.0
2021-06-14,19156891.360000312,727706.1376577622,17370798.104880635,929628.3376265552,-2039193.924631894,0.0,111.19111999999998,0.0,0.0
2021-06-15,18868081.280000314,870203.011768002,17350484.712997403,570264.696340142,-2459090.001014714,0.0,105.36011400000001,0.0,0.0
2021-06-16,18175310.23999989,1023928.482129092,17330171.32111417,218121.18909544867,-1973342.9778987083,0.0,121.02593999999999,0.0,0.0
2021-06-17,18706889.91999975,1184309.0681428255,17309857.92923094,-118250.36709003952,-1491457.3107895756,0.0,124.22713399999996,0.0,0.0
2021-06-18,21473616.959998842,1346453.6235994915,17289544.537347708,-371511.2362134287,3415753.973276848,0.0,129.69287799999998,0.0,0.0
2021-06-19,22696804.799998585,1505289.814735049,17269231.14546448,-294090.0934585389,3133894.312955084,0.0,121.057354,0.0,0.0
2021-06-20,19593795.679999672,1655707.9467410264,17248917.753581252,368843.3666214066,1413435.9280867449,0.0,117.53215599999999,0.0,0.0
2021-06-21,18251092.48000007,1792708.0693687082,17228604.36169802,1517931.0648433256,-2039193.9246317777,0.0,120.39768399999998,0.0,0.0
2021-06-22,17193975.68000038,1911546.1509634424,17208290.969814792,2543699.2289462886,-2459090.001010197,0.0,107.596058,0.0,0.0
2021-06-23,15148131.20000019,2007875.0881876224,17187977.57793156,2657164.8081833464,-1973342.9778929343,0.0,120.83071000000001,0.0,0.0
2021-06-24,15308840.480000157,2077876.4172767336,17167664.18604833,1528436.8408738822,-1491457.3107880508,0.0,120.57036200000002,0.0,0.0
2021-06-25,16078195.999999736,2118378.810577698,17147350.794165097,-316124.17835263244,3415753.973279321,0.0,131.75129600000002,0.0,0.0
2021-06-26,16184069.599999782,2126959.774213272,17127037.402281865,-1768318.7888509342,3133894.3129545758,0.0,126.614816,0.0,0.0
2021-06-27,17207525.4399993,2102027.4006953854,17106724.010398634,-1951575.693438687,1413435.9280792666,0.0,134.046958,0.0,3.75
2021-06-28,14613390.399999961,2042879.562879775,17086410.618515406,-927329.9369712076,-2039193.9246309972,-1503117.518569877,112.23064799999999,0.0,28.5
2021-06-29,14489297.119999882,1949738.5485386,17066097.226632178,323042.8704786086,-2459090.0010168534,0.0,126.702026,0.0,106.125
2021-06-30,14865168.639999485,1823759.811601427,17045783.839831837,668168.5636666658,-1973342.977896172,0.0,142.563696,0.0,261.0
2021-07-01,16527785.279999582,1667014.2381114706,17025470.453031503,-271886.2410792126,-1491457.3107865253,0.0,226.00257000000005,457.884,568.125
2021-07-02,17882223.99999907,1482444.0723168275,17005157.06623116,-1838910.8439400664,3415753.9732817938,0.0,285.504948,460.208,809.25
2021-07-03,17045035.03999912,1273793.4000607026,16984843.679430824,-2891124.351952089,3133894.312957344,0.0,224.12163399999997,455.224,810.375
2021-07-04,12395509.600000257,1045514.8217181892,16964530.292630486,-2714825.423429125,1413435.9280796004,0.0,140.19708400000002,456.904,462.75
2021-07-05,13581757.600000104,802654.6442160883,16944216.90583015,-1530712.0867272897,-2039193.9246308813,-575625.2943623783,242.446688,454.9720000000001,631.125
2021-07-06,13935236.319999285,550719.561301563,16923903.519029807,-215970.24877493063,-2459090.001012804,0.0,206.321552,455.30799999999994,592.875
2021-07-07,19173215.83999845,295528.35445447656,16903590.13222947,454374.4069156285,-1973342.977894904,0.0,247.38462199999995,456.03599999999994,747.75
2021-07-08,20317228.47999727,43052.61703696363,16883276.745429132,372152.18618864944,-1491457.310785,0.0,232.91790000000003,453.82399999999996,820.875
2021-07-09,22112718.879996017,-200749.13271948177,16862963.358628795,31720.819668970085,3415753.973283786,0.0,279.605964,457.52,905.625
2021-07-10,21693754.55999557,-430099.33986866544,16842649.971828457,-10801.47650107676,3133894.3129587374,0.0,261.40517,452.64799999999985,1073.25
2021-07-11,23424311.35999388,-639566.5742450524,16822336.58502812,381867.3593827709,1413435.928079934,0.0,334.12677400000007,456.42799999999994,1057.125
2021-07-12,19228868.479996882,-824223.2510268464,16802023.198227778,906095.8533363504,-2039193.9246307656,0.0,288.097888,457.884,649.5
2021-07-13,19452531.519997135,-979791.3419666698,16781709.81142744,1179035.9351048868,-2459090.001014107,0.0,268.303566,448.56,647.25
2021-07-14,18407650.71999782,-1102771.7844235832,16761396.424627105,1077942.348945707,-1973342.9778949704,0.0,260.097736,450.88399999999996,558.75
2021-07-15,19919332.159997318,-1190553.6941942796,16741083.037826763,753236.3955629035,-1491457.3107925772,0.0,236.659664,454.69200000000006,628.125
2021-07-16,21413191.359996114,-1241500.0006470792,16720769.651026428,391476.1103107793,3415753.9732867405,0.0,291.5741279999999,452.31199999999995,773.25
2021-07-17,21319171.039996255,-1255006.7355821345,16700456.26422609,47671.87703774212,3133894.3129563304,0.0,289.61311,450.296,799.875
2021-07-18,22297263.519995064,-1231533.9048051392,16680142.877425753,-266915.8671049646,1413435.9280724556,0.0,364.415806,456.12000000000006,798.375
2021-07-19,19224599.67999718,-1172606.635022452,16659829.49062541,-394028.6039280255,-2039193.9246248472,0.0,310.71229999999997,455.0,541.875
2021-07-20,18909632.159997582,-1080786.0979451872,16639516.103825076,-41800.36505609603,-2459090.0010100584,0.0,271.397262,453.572,499.875
2021-07-21,19060387.0399962,-959610.54654083,16619202.717024734,910115.085945226,-1973342.977893702,0.0,297.08960399999995,449.568,580.125
2021-07-22,20897487.199994292,-813507.6323767968,16598889.330224397,2098463.3637343417,-1491457.310788284,0.0,331.469646,452.788,579.0
2021-07-23,22724504.1599933,-647679.9850398399,16578575.94342406,2753175.6942638354,3415753.9732887326,0.0,302.29490400000003,129.108,722.25
2021-07-24,22016048.959993936,-467966.8020759347,16558262.55662372,2235711.4919318524,3133894.3129558223,0.0,313.33799000000005,257.6,767.25
2021-07-25,22174903.519993614,-280684.8991855384,16537949.16982338,631870.8648591357,1413435.9280875665,0.0,317.49318999999997,336.7,818.25
2021-07-26,18178806.239996642,-92453.28565487383,16517635.783023046,-1162192.1232411752,-2039193.9246298692,0.0,39.119654,142.044,566.625
2021-07-27,18097308.959996797,89994.1585604187,16497322.396222703,-2040927.399067671,-2459090.001016713,0.0,0.0,0.0,545.625
2021-07-28,17571786.55999771,260002.9351241264,16477009.009422367,-1544270.5274634894,-1973342.977896941,0.0,4.081394,1.9880000000000002,530.25
2021-07-29,19268034.719995506,411193.87821832014,16456695.622622024,-251210.50288073445,-1491457.310789527,0.0,314.82717199999996,115.64000000000001,536.625
2021-07-30,21623488.6399954,537655.4507076091,16436382.235821692,657854.6654133598,3415753.973278188,0.0,350.47929200000004,147.952,710.625
2021-07-31,21921704.79999476,634127.053657183,16416068.84902135,339066.102043797,3133894.312955315,0.0,363.597244,343.112,919.5
2021-08-01,23432606.079993807,696168.1834124024,16395755.462221012,-1047933.7775325484,1413435.9280839944,0.0,295.95864000000006,119.11199999999998,1089.375
2021-08-02,17982448.799997423,720308.5783483669,16375442.075420674,-2493564.063374383,-2039193.924624615,0.0,207.62340799999996,0.0,39.375
2021-08-03,17864000.63999762,704174.9399669131,16355128.688620336,-2965177.156238941,-2459090.0010126648,0.0,237.331788,0.0,51.75
2021-08-04,15903532.159998666,646590.379632094,16334815.30182,-2201191.1947619687,-1973342.9778911665,0.0,230.33401000000003,0.0,86.25
2021-08-05,15199710.079998976,547643.4188007875,16314501.91501966,-829641.5008149679,-1491457.3107852333,0.0,244.96484,0.0,234.75
2021-08-06,15595008.319998264,408724.1398721773,16294188.528219324,224738.27494251,3415753.9732806617,0.0,245.76436999999999,0.0,318.0
2021-08-07,15580199.999997735,232525.9269708402,16273875.141418982,485386.2558005655,3133894.312954809,0.0,229.49945000000002,0.0,477.0
2021-08-08,17324795.999996517,23012.129163214697,16253561.754618645,193573.3016966992,1413435.9280843276,0.0,215.15577599999997,0.0,654.0
2021-08-09,14039078.559997955,-214652.10072364923,16233248.367818307,-48038.81822647706,-2039193.924629637,0.0,250.07315800000003,0.0,331.5
