ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE,TRADE_COST_TRADE_TPR_DISPLAY,TRADE_COST_TRADE_TPR_FEATURE,TRADE_COST_TRADE_TPR_FEATURE_DISPLAY,TRADE_COST_TRADE_TPRONLY
2021-06-05,0.0,-14830277.63161249,194435391.88581392,-8601778.494310046,36253865.72218861,0.0,685.4288277411673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,211697585.31985876,-16159965.159133356,194441641.96198595,-5974336.32731148,24965511.66553968,0.0,727.4653486929254,5627.01372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,181414620.99988672,-17405395.272638097,194447892.03815797,-6905126.629284788,-19733346.41693836,0.0,678.4227409158743,5574.975546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-08,168135875.63989308,-18535810.808821376,194454142.11433,-9217711.21123803,-25645170.266777307,0.0,580.3375253617719,5602.588395999998,0.0,0.0,0.0,112.0,1273.51,1142.6100000000001,309.62
2021-06-09,173094643.35988557,-19521708.72861119,194460392.190502,-9506292.292394027,-23077974.78346753,0.0,0.0,5963.091651,0.0,0.0,0.0,2194.85,32573.61,27383.95,7012.34
2021-06-10,182472654.07989007,-20335670.47699838,194466642.266674,-6703237.000103202,-19345711.80632535,0.0,0.0,6004.804234,0.0,0.0,0.0,2333.71,33147.09,27572.4,7220.26
2021-06-11,190896744.43984506,-20953164.53739573,194472892.342846,-2817214.173165358,26582825.885867607,0.0,0.0,5975.080486,0.0,0.0,0.0,2536.8399999999997,36102.05,29820.31,8022.48
2021-06-12,192644546.7998504,-21353296.93735172,194479142.419018,-296276.31624463166,36253865.72219571,0.0,0.0,5965.022351999999,0.0,0.0,0.0,2739.57,36462.649999999994,29206.13,7833.1900000000005
2021-06-13,212251151.23987496,-21519486.32713489,194485392.49519,967846.4964515216,24965511.66550445,0.0,0.0,5958.328974,0.0,0.0,0.0,3072.9,39021.920000000006,32210.699999999993,9214.68
2021-06-14,182109961.27990508,-21440041.852367144,194491642.571362,3635938.668814514,-19733346.416946232,0.0,0.0,5961.060278,0.0,0.0,0.0,2430.39,35197.33,27576.52,7501.47
2021-06-15,181712829.5199289,-21108624.34130317,194497892.647534,9767115.853579575,-25645170.266789105,0.0,0.0,5855.85898,0.0,0.0,0.0,3044.04,33636.36,25828.66,8139.3
2021-06-16,187409514.47988075,-20524574.271283034,194504142.72370607,17819122.403362986,-23077974.783501845,0.0,0.0,5826.915321999999,0.0,0.0,0.0,22160.12,23547.320000000003,13671.16,27274.72
2021-06-17,199329828.79987183,-19693093.489948645,194510392.7998781,23205919.388736103,-19345711.80637657,0.0,0.0,5937.6867250000005,0.0,0.0,0.0,22949.579999999994,24984.589999999997,15181.63,28768.71
2021-06-18,221615855.31984714,-18625271.6496876,194516642.87605008,22306604.939478222,26582825.88574333,0.0,0.0,5991.590139999999,0.0,0.0,0.0,25891.43,28915.889999999992,16780.839999999997,32874.26
2021-06-19,244454303.11995545,-17337952.656256955,194522892.95222208,16151884.599181538,36253865.72219076,0.0,0.0,5916.975639,0.0,0.0,0.0,28970.439999999995,30820.21,17835.23,36216.42
2021-06-20,220078973.3598814,-15853441.01080783,194529143.02839407,9956646.744783817,24965511.665496044,0.0,0.0,5985.310425000001,0.0,0.0,0.0,24513.35,25502.309999999994,15273.29,30952.379999999997
2021-06-21,181426767.31989318,-14199052.603189232,194535393.10456613,8515534.41308801,-19733346.4169541,0.0,0.0,10283.715224,0.0,0.0,0.0,20525.01,23461.28,12860.130000000001,26391.84
2021-06-22,170025922.3199096,-12406519.156373372,194541643.1807381,11612116.705797585,-25645170.26674844,0.0,0.0,10050.591139999999,0.0,0.0,0.0,16290.93,23916.55,11572.929999999998,23780.23
2021-06-23,176414826.11986533,-10511259.984109432,194547893.25691012,13914057.003972072,-23077974.783442717,0.0,0.0,10023.126520999998,0.0,0.0,0.0,5155.239999999999,16921.149999999998,16546.07,4642.709999999999
2021-06-24,185662557.99986264,-8551538.871526554,194554143.3330821,9795060.592894318,-19345711.80636717,0.0,0.0,10341.73053,0.0,0.0,0.0,6293.09,18829.829999999998,18930.26,5988.16
2021-06-25,209131655.7198136,-6567527.589619275,194560393.40925413,-1170662.238515477,26582825.88577535,0.0,0.0,9953.324714,0.0,0.0,0.0,7906.25,20005.39,20730.0,7555.02
2021-06-26,208537736.07981262,-4600300.69145389,194566643.48542616,-13166710.060216656,36253865.72219184,0.0,0.0,10231.968617999999,0.0,0.0,0.0,6606.700000000001,19078.200000000004,19163.899999999998,6370.570000000001
2021-06-27,217443622.31978622,-2690788.706972752,194572893.56159812,-18739665.12400185,24965511.66543399,0.0,0.0,10386.454038000002,998.844,134.0,0.0,6389.79,17023.75,17794.83,6132.44
2021-06-28,187639969.08984634,-878718.5684665758,194579143.63777012,-15074971.345619831,-19733346.41690789,8284072.286384556,0.0,10352.102663000001,991.396,207.5,0.0,5490.110000000001,16328.199999999999,16952.780000000002,5778.75
2021-06-29,184108715.98984694,798429.0024553649,194585393.7139422,-6366398.802208154,-25645170.26680965,0.0,0.0,10317.885455999998,986.048,570.0,0.0,5799.179999999999,18551.979999999996,17877.49,5990.880000000001
2021-06-30,195524082.5798266,2306415.375517677,194591643.80762327,-194231.30565794144,-23077974.783477023,0.0,0.0,12864.780956999999,985.2919999999999,1817.25,0.0,2060.7299999999996,23770.689999999995,24434.989999999998,4222.359999999999
2021-07-01,216413156.6498084,3615164.221289864,194597893.9013044,-1196824.0762588177,-19345711.806357764,0.0,0.0,18777.939716,989.548,2689.75,0.0,2231.63,25080.019999999997,26241.68,4500.910000000001
2021-07-02,247321608.92973337,4699578.806562778,194604143.99498543,-7625787.887607956,26582825.88580736,0.0,0.0,20730.926861999997,985.0680000000002,4032.0,0.0,2787.4600000000005,27838.079999999994,28370.33,4822.52
2021-07-03,239533618.56976083,5540231.654440609,194610394.08866656,-13576400.4119166,36253865.7221885,0.0,0.0,15197.074666,974.2040000000002,3925.25,0.0,2330.38,23865.510000000002,24017.589999999997,4294.419999999999
2021-07-04,182284004.12986222,6123905.135501368,194616644.1823476,-14497795.842745127,24965511.665425584,0.0,0.0,11642.326484,967.652,2384.0,0.0,1767.3899999999999,15650.61,16045.909999999998,3146.79
2021-07-05,170341555.00989005,6443965.523911318,194622894.2760287,-10847935.413036833,-19733346.416915763,-535348.1238662436,0.0,16142.828055999998,9.884,3178.25,0.0,1233.7,14705.34,14624.220000000001,2586.08
