ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,27014696.000014286,-8914836.955719473,33821566.26789609,-1189819.5337029246,1785961.88693025,0.0,511.0213579999999,0.0
2021-06-07,25126491.680010952,-9000792.942220718,33807046.56615455,-849551.4344786206,-1184010.5200996804,0.0,504.872802,0.0
2021-06-08,23561954.40001303,-9077041.100326544,33792526.86441299,-611332.9143742889,-1221436.4715679924,0.0,496.19628199999994,0.0
2021-06-09,23207640.320006218,-9142884.89726267,33778007.16267145,-346539.473826696,-1890783.9655625687,0.0,434.04476200000005,0.0
2021-06-10,23065080.800008487,-9197830.396509934,33763487.4609299,228781.6256305717,-1615322.9197594745,0.0,422.09381000000013,0.0
2021-06-11,23555889.760008182,-9241605.802875483,33748967.75918835,1226750.5105007708,1403583.8017601457,0.0,422.24477,0.0
2021-06-12,23725247.04000854,-9274174.122305363,33734448.0574468,2383165.9964147755,2722008.188306103,0.0,416.997156,0.0
2021-06-13,26746976.00001385,-9295738.579734392,33719928.355705254,3179031.6105894204,1785961.8869281996,0.0,418.28334199999995,0.0
2021-06-14,24458343.52000747,-9306740.671511391,33705408.65396369,3205947.700336333,-1184010.5201003768,0.0,427.36617799999993,0.0
2021-06-15,23392464.640005827,-9307850.96225909,33690888.95222214,2479474.259448861,-1221436.4715686496,0.0,424.296058,0.0
2021-06-16,22088464.000001483,-9299952.962061437,33676369.2504806,1447054.3761556607,-1890783.965564977,0.0,427.71895200000006,0.0
2021-06-17,22462425.600007087,-9284120.631586036,33661849.548739046,689452.2145990196,-1615322.9197626412,0.0,412.89773599999995,0.0
2021-06-18,23592042.080005255,-9261590.253883723,33647329.8469975,551856.3912542934,1403583.80175022,0.0,425.0859439999999,0.0
2021-06-19,25305681.920008015,-9233727.576340672,33632810.14525595,967849.0985935808,2722008.18830694,0.0,417.908282,0.0
2021-06-20,22835113.920008905,-9201991.260050956,33618290.4435144,1559240.0472054358,1785961.8869263344,0.0,424.51056199999994,0.0
2021-06-21,23627973.600006144,-9167893.77302044,33603770.74177285,1885407.60965606,-1184010.520101073,0.0,418.529164,0.0
2021-06-22,23660828.640004788,-9132960.925609449,33589251.0400313,1652612.4810984586,-1221436.4715662508,0.0,418.538806,0.0
