ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-06-06,93572026.07999995,-60939873.45890467,151502568.9972417,-1263399.076100198,17797804.00630497,0.0,1637.577812,0.0
2021-06-07,86789256.16000026,-60731734.03022049,151513391.6605009,1118714.9607836169,3762790.639596069,0.0,1594.298339,0.0
2021-06-08,76579136.6400014,-60881627.24801816,151524214.32376015,3067332.81792075,-7585329.755333951,0.0,1597.2769529999998,0.0
2021-06-09,72796192.32000275,-61391146.32572551,151535036.98701936,5899575.951456803,-12020006.936770223,0.0,1586.1140780000003,0.0
2021-06-10,72567086.56000334,-62250086.38432796,151545859.65027857,10652783.27113551,-8449551.071779307,0.0,1596.574168,0.0
2021-06-11,70021538.56000234,-63436847.631044544,151556682.31353778,17010884.788284313,-1373384.1359578974,0.0,1589.1333889999999,0.0
2021-06-12,73121471.20000434,-64919195.45116609,151567504.976797,23146593.3791607,7867677.253920461,0.0,1595.6024489999995,0.0
2021-06-13,87606197.76000105,-66655351.33741872,151578327.64005622,26748574.607640635,17797804.00630368,0.0,1573.1660479999998,0.0
2021-06-14,79265610.24000026,-68595378.37085882,151589150.30331543,26501898.39410084,3762790.639585208,0.0,1561.2059880000002,0.0
2021-06-15,71763036.00000182,-70682815.93785454,151599972.96657467,22888774.68098592,-7585329.755342856,0.0,1539.850913,0.0
2021-06-16,65597416.80001005,-72856510.80119096,151610795.62983388,17737144.39764961,-12020006.936778354,0.0,1549.349158,0.0
2021-06-17,64411868.00000959,-75052585.76565634,151621618.2930931,12962745.499145444,-8449551.07178198,0.0,1574.0377909999995,0.0
2021-06-18,65548255.680010885,-77206483.16391009,151632440.9563523,9527140.121305509,-1373384.1359851805,0.0,1552.920732,0.0
2021-06-19,70977804.96001303,-79255018.35975918,151643263.6196115,7305218.660500717,7867677.253934612,0.0,1538.3974809999997,0.0
2021-06-20,67645097.60001093,-81138378.46902473,151654086.2828707,5693709.96356463,17797804.006301545,0.0,1561.8088959999998,0.0
2021-06-21,73118475.68001355,-82802003.53521483,151664908.94612995,4220018.47978241,3762790.639574348,0.0,1570.6130099999996,0.0
2021-06-22,70020375.68001218,-84198291.3852622,151675731.60938916,2611842.7618454783,-7585329.755305181,0.0,1528.265584,0.0
2021-06-23,65133902.40001051,-85288073.20673816,151686554.27264836,475597.1597292198,-12020006.936761372,0.0,1553.6160559999992,0.0
2021-06-24,66289356.160010345,-86041814.33674178,151697376.93590757,-2828032.430536763,-8449551.071782114,0.0,1559.0637540000002,0.0
2021-06-25,65824498.56001075,-86440503.5984419,151708199.59916678,-7770084.3216219,-1373384.1359761376,0.0,1546.3879500000003,0.0
2021-06-26,68574742.88001172,-86476204.4806058,151719022.262426,-14014737.175787102,7867677.253942334,0.0,1549.287761,0.0
2021-06-27,78077095.36001608,-86152252.2136617,151729844.92568523,-20232720.24640186,17797804.0063011,0.0,1556.4926880000003,0.0
2021-06-28,71820484.48001283,-85483092.01218934,151740667.58894444,-24705729.77978582,3762790.639624551,21562455.16781445,1036.90541,0.0
2021-06-29,66375711.04001071,-84493765.07636195,151751490.25220364,-26326357.760531288,-7585329.755323781,0.0,713.062328,0.0
2021-06-30,65495289.44001148,-83219060.01778238,151762312.9206176,-25187682.226867363,-12020006.936769504,0.0,849.6876480000001,0.0
2021-07-01,66881736.80001155,-81702357.85299744,151773135.58903158,-22293695.56810333,-8449551.071782252,0.0,849.2272890000002,0.0
2021-07-02,68260003.52001168,-79994208.26266035,151783958.25744554,-18702062.2652443,-1373384.1359670968,0.0,811.2429450000001,0.0
2021-07-03,64873733.76000962,-78150683.15058172,151794780.9258595,-14889289.891860409,7867677.2539059,0.0,787.8330729999999,0.0
2021-07-04,45512418.400005065,-76231560.3956211,151805603.59427348,-10847003.440787844,17797804.00629897,0.0,786.9479689999998,0.0
2021-07-05,68464994.24001151,-74298395.8591191,151816426.26268744,-6660247.983909446,3762790.639613689,-2776787.857385389,779.7150360000002,0.0
2021-07-06,70626475.36001249,-72412545.03609003,151827248.9311014,-2839072.5410738187,-7585329.755322989,0.0,760.1917249999999,0.0
2021-07-07,72518212.48001151,-70633197.11598238,151838071.59951538,42461.89214444469,-12020006.936765077,0.0,757.050975,0.0
2021-07-08,69199978.56001101,-69015483.61621279,151848894.26792935,2073148.0393811525,-8449551.071782386,0.0,830.7963899999999,0.0
2021-07-09,67618450.72001171,-67608721.18631317,151859716.9363433,4286607.065688192,-1373384.1359688004,0.0,799.7542460000001,0.0
2021-07-10,71802699.04001391,-66454843.744317226,151870539.60475728,8015975.56952429,7867677.253907191,0.0,744.964583,0.0
2021-07-11,88735012.00002106,-65587072.94087746,151881362.27317125,13717105.130266136,17797804.00629684,0.0,768.38266,0.0
2021-07-12,79638648.16001578,-65028868.24807388,151892184.9415852,20257660.69506076,3762790.639602827,0.0,726.80924,0.0
2021-07-13,73006346.08001307,-64793188.990035824,151903007.60999918,25384993.99064544,-7585329.755331894,0.0,727.9704439999999,0.0
2021-07-14,69678246.08001165,-64882090.65141442,151913830.27841315,27119096.076800216,-12020006.936769282,0.0,742.5364060000002,0.0
2021-07-15,70965440.1600115,-65286667.14029322,151924652.9468271,25020280.754729785,-8449551.071785057,0.0,749.0516189999997,0.0
2021-07-16,70862632.00001134,-65987339.67838056,151935475.61524108,20371817.079174887,-1373384.1359490124,0.0,739.3645290000001,0.0
2021-07-17,75321522.40001331,-66954481.99580609,151946298.28365505,15213781.645323656,7867677.253921343,0.0,730.490142,0.0
2021-07-18,89221136.32001938,-68149360.86430004,151957120.952069,11065039.990697147,17797804.006296393,0.0,727.844752,0.0
2021-07-19,82612537.12001418,-69525361.05246124,151967943.62048298,8300052.361485691,3762790.639657944,0.0,709.2042680000001,0.0
2021-07-20,74646790.72001225,-71029454.84001906,151978766.28889695,6459634.957815301,-7585329.755331104,0.0,706.0558619999999,0.0
2021-07-21,70430342.40001142,-72603868.57036693,151989588.95731091,4958182.4855738925,-12020006.936764857,0.0,709.63598,0.0
2021-07-22,69354689.440011,-74187892.59154817,152000411.62572488,3450607.5414396087,-8449551.07177226,0.0,710.228116,0.0
2021-07-23,70255292.16001216,-75719776.5290496,152011234.29413885,1646197.948518008,-1373384.1359507155,0.0,723.3320749999999,0.0
2021-07-24,76018058.08001325,-77138649.28771545,152022056.96255282,-988902.6262038198,7867677.253929064,0.0,710.315014,0.0
2021-07-25,88634010.72001839,-78386402.57363772,152032879.6309668,-5090380.658028672,17797804.006302413,0.0,484.67985799999997,0.0
2021-07-26,81244493.44001547,-79409478.07737169,152043702.29938075,-10792777.38111739,3762790.639642168,0.0,135.563628,0.0
2021-07-27,72049645.44001171,-80160501.72470468,152054524.96779475,-17237033.84451787,-7585329.755349703,0.0,0.0,0.0
2021-07-28,68675265.76001123,-80599713.47184823,152065347.63620868,-22781693.94157485,-12020006.93677299,0.0,15.191427999999998,0.0
2021-07-29,68882990.72001153,-80696147.83957046,152076170.30462268,-25895908.5591434,-8449551.071785327,0.0,1086.7654579999999,0.0
2021-07-30,71632859.68001257,-80428528.52636586,152086992.97303662,-26051463.11016518,-1373384.1359779998,0.0,1086.76426,0.0
2021-07-31,79943002.56001735,-79785849.75529122,152097815.6414506,-23884773.69750089,7867677.253936784,0.0,960.447898,0.0
2021-08-01,95747472.80002412,-78767627.19463111,152108638.30986458,-20538995.029289007,17797804.006301127,0.0,1104.5013979999999,0.0
2021-08-02,84591332.00001943,-77383812.01951948,152119460.97827855,-16818540.82121795,3762790.639636221,0.0,1070.5380590000002,0.0
2021-08-03,80321593.60001616,-75654372.6081698,152130283.6466925,-12900614.888519816,-7585329.755348912,0.0,1042.648873,0.0
2021-08-04,85666782.56001116,-73608559.1402083,152141106.31510648,-8748994.637210285,-12020006.936756006,0.0,1155.46027,0.0
2021-08-05,81901178.40001091,-71283876.63750708,152151928.98352045,-4660999.216148382,-8449551.071772533,0.0,1302.881628,0.0
2021-08-06,82177778.24001005,-68724801.42829323,152162751.65193442,-1263399.0760922427,-1373384.1359689576,0.0,1198.751287,0.0
2021-08-07,95040563.20000723,-65981284.31816039,152173574.32034838,1118714.9607883303,7867677.253944506,0.0,1115.326842,0.0
2021-08-08,109038425.76000313,-63107090.64395367,152184396.98876235,3067332.8179176077,17797804.006298997,0.0,1037.9369859999997,0.0
2021-08-09,97877144.0000107,-60158032.64475266,152195219.65717632,5899575.95145703,3762790.639620446,0.0,1132.1306559999998,0.0
2021-08-10,88901896.32001135,-57190153.03157249,152206042.32559028,10652783.271142846,-7585329.755320931,0.0,1126.1100840000001,0.0
2021-08-11,86207105.92001076,-54257920.159947135,152216864.99400425,17010884.78828466,-12020006.936764136,0.0,1117.8124980000002,0.0
2021-08-12,87227809.12001127,-51412494.74846014,152227687.66241822,23146593.3791583,-8449551.071772665,0.0,1138.774741,0.0
2021-08-13,87006427.68000981,-48700125.6543693,152238510.33083218,26748574.60763784,-1373384.1359599165,0.0,1130.099351,0.0
2021-08-14,97183894.56000648,-46160727.881081015,152249332.99924615,26501898.394098077,7867677.25395866,0.0,1115.3267350000003,0.0
2021-08-15,119558916.48000771,-43826689.89128562,152260155.6676601,22888774.680989426,17797804.006306704,0.0,1181.9791769999997,0.0
2021-08-16,105688639.52001566,-41721949.61931276,152270978.3519517,17737144.397648565,3762790.6396046714,0.0,1135.632477,0.0
2021-08-17,97775833.60001485,-39861369.56484189,152281801.03624326,12962745.499144144,-7585329.755329838,0.0,1126.4938190000003,0.0
2021-08-18,89068224.9600208,-38250431.2923914,152292623.72053483,9527140.121304896,-12020006.936768346,0.0,1067.9916649999998,0.0
2021-08-19,92134047.68002136,-36885258.88147683,152303446.40482643,7305218.6605015155,-8449551.071772799,0.0,971.331081,0.0
2021-08-20,90937841.60001841,-35752969.72074429,152314269.08911803,5693709.963560551,-1373384.135961619,0.0,1072.283383,0.0
2021-08-21,100556003.68002433,-34832339.876862384,152325091.7734096,4220018.479776755,7867677.253909362,0.0,1065.5108990000003,0.0
2021-08-22,121601732.32003316,-34094760.46562774,152335914.4577012,2611842.761840289,17797804.006304573,0.0,1072.455604,0.0
2021-08-23,101732551.2000241,-33505451.36343137,152346737.14199278,475597.1597294093,3762790.6395987226,0.0,1045.002179,0.0
2021-08-24,90557222.88001905,-33024889.561701164,152357559.82628435,-2828032.43053359,-7585329.75533874,0.0,1052.6493209999999,0.0
2021-08-25,85967077.92001691,-32610401.79123262,152368382.51057595,-7770084.321627895,-12020006.936776476,0.0,1063.6531160000002,0.0
2021-08-26,87644101.76001492,-32217864.993932296,152379205.19486755,-14014737.1757875,-8449551.071788404,0.0,1065.5828270000002,0.0
2021-08-27,86100279.20001693,-31803454.01092697,152390027.87915912,-20232720.246409863,-1373384.1359633233,0.0,1067.311034,0.0
2021-08-28,95311635.68002093,-31325373.64787401,152400850.56345072,-24705729.779777963,7867677.253923517,0.0,642.1554289999999,0.0
2021-08-29,128645969.92003013,-30745512.16469829,152411673.2477423,-26326357.76053133,17797804.006303284,0.0,1059.81274,0.0
2021-08-30,121746422.5600247,-30030955.248567022,152422495.9320339,-25187682.22687251,3762790.639582948,0.0,887.6912229999999,0.0
2021-08-31,116195598.88002546,-29155303.623167604,152433318.61632547,-22293695.568102047,-7585329.755337948,0.0,1383.872303,0.0
2021-09-01,137088448.64000583,-28099743.52003443,152444141.30061704,-18702062.26524282,-12020006.936759492,0.0,1478.2290659999996,0.0
2021-09-02,123934940.64000805,-26853827.114473265,152454963.98490864,-14889289.891862936,-8449551.071775608,0.0,1636.9528359999997,0.0
2021-09-03,124793920.640012,-25415929.476193137,152465786.6692002,-10847003.440789642,-1373384.1359435334,0.0,1457.1837639999999,0.0
2021-09-04,123722347.9200176,-23793359.318331104,152476609.3534918,-6660247.983911942,7867677.253931237,0.0,1458.5417630000002,0.0
2021-09-05,112699635.04002446,-22002112.514459457,152487432.0377834,-2839072.541068792,17797804.006301995,0.0,1460.2321160000001,0.0
2021-09-06,129387931.76001951,-20066269.623922814,152498254.722075,42461.892148753264,3762790.639638066,-13228541.22630358,1441.092009,0.0
2021-09-07,123958100.64002255,-18017051.13097335,152509077.40636656,2073148.039384649,-7585329.755356549,0.0,1420.4386419999996,0.0
2021-09-08,110766945.84002219,-15891556.357603084,152519900.09065816,4286607.06568793,-12020006.936767625,0.0,1462.1270809999999,0.0
2021-09-09,107072882.56002082,-13731223.650332708,152530722.77494973,8015975.5695247,-8449551.071788674,0.0,1468.5626659999998,0.0
2021-09-10,104456179.60002002,-11580060.077860862,152541545.45924133,13717105.130266547,-1373384.13594524,0.0,1411.831641,0.0
2021-09-11,111651961.12002273,-9482698.143048374,152552368.14353293,20257660.69507253,7867677.253894802,0.0,1440.888517,0.0
2021-09-12,136042670.56003046,-7482344.583264566,152563190.8278245,25384993.99064718,17797804.006300706,0.0,1415.5410530000001,0.0
