ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-06-06,1961646.0800001905,-249478.2423360393,1932927.6520376424,-82609.5352499081,86474.95693633244,0.0,68.60000000000001,0.0
2021-06-07,1709665.440000024,-248492.368912522,1933219.447776172,-75859.0436932761,-151509.33272895552,0.0,59.7,0.0
2021-06-08,1537544.4800000924,-245653.26159393697,1933511.2435147013,-72314.08413982598,-161998.62166821933,0.0,41.7,0.0
2021-06-09,1622938.8800001184,-241069.21157783916,1933803.039253231,-65478.71688420007,-161766.85312119426,0.0,80.0,0.0
2021-06-10,1846668.1600001978,-234894.9553644607,1934094.8349917608,-46611.415352732816,21865.155766278567,0.0,62.1,0.0
2021-06-11,2031970.880000214,-227327.12341035737,1934386.63073029,-17176.445306237667,127939.53105311102,0.0,59.5,0.0
2021-06-12,2047106.7200002074,-218598.4385418324,1934678.42646882,10723.949363296811,238995.1637630244,0.0,40.8,0.0
2021-06-13,1902593.1200002013,-208970.83792900247,1934970.2222073493,25356.52793207265,86474.95693622204,0.0,53.2,0.0
2021-06-14,1840386.4000000665,-198727.72544995605,1935262.017945879,25432.435032230547,-151509.33272911742,0.0,79.7,0.0
2021-06-15,1618968.160000039,-188165.58800419324,1935553.8136844088,18965.096605561223,-161998.62166817283,0.0,35.1,0.0
2021-06-16,1707041.6000000709,-177585.22893609048,1935845.6094229384,13476.260991792888,-161766.8531211103,0.0,32.8,0.0
2021-06-17,1828168.800000049,-167282.88359816212,1936137.405161468,9499.245076818012,21865.15576586849,0.0,53.37755,0.0
2021-06-18,2039268.3200001728,-157541.48586109214,1936429.2008999973,5018.509785457721,127939.5310526363,0.0,30.0,0.0
2021-06-19,2047305.4400000996,-148622.34992825735,1936720.9966385271,5091.252227578959,238995.16376318797,0.0,21.6,0.0
2021-06-20,1736297.6000001607,-140757.51928609898,1937012.7923770568,23227.11937388178,86474.95693585846,0.0,27.200000000000003,0.0
2021-06-21,1501984.6400000458,-134143.0143831517,1937304.5881155864,68624.54750041197,-151509.33272927935,0.0,12.1,0.0
2021-06-22,1638692.960000031,-128933.18330678956,1937596.383854116,129597.35222284406,-161998.62166834975,0.0,83.30000000000001,0.0
2021-06-23,1567418.719999983,-125236.32614472767,1937888.1795926453,171616.45798491855,-161766.85312106786,0.0,62.7,0.0
2021-06-24,1834045.760000214,-123111.72490442268,1938179.975331175,157979.14310651843,21865.1557659543,0.0,38.800000000000004,0.0
2021-06-25,1986007.6800002982,-122568.16800836846,1938471.7710697048,79881.56262397653,127939.53105279346,0.0,21.1,0.0
2021-06-26,1988775.040000202,-123564.01278659888,1938763.5668082344,-29571.367969314782,238995.1637631076,0.0,51.7,0.0
2021-06-27,1850278.2400001502,-126008.78245598017,1939055.362546764,-112784.43126922876,86474.95693600121,0.0,27.200000000000003,0.0
2021-06-28,1851301.2799999753,-129766.24723310424,1939347.1582852933,-126269.60881704692,-151509.3327286034,245766.4275901636,59.9,0.0
2021-06-29,1654344.000000035,-134658.8939174814,1939638.9540238231,-71129.61975820985,-161998.62166817387,0.0,40.5,0.0
2021-06-30,1639811.6800000577,-140473.64588402933,1939465.7800457585,8779.613409803678,-161766.8531209839,0.0,14.0,0.0
2021-07-01,2155173.6000001007,-146968.65724018033,1939292.6060676936,59433.10374839732,21865.1557660401,0.0,138.1,0.0
2021-07-02,2230098.400000239,-153880.97210681185,1939119.432089629,53868.7750458233,127939.5310529506,0.0,112.39999999999999,0.0
2021-07-03,2373125.2799999695,-160934.81357424852,1938946.2581115644,5649.692111810455,238995.16376340797,0.0,51.8,0.0
2021-07-04,1635752.640000107,-167850.24767875628,1938773.0841335,-48732.26278110427,86474.95693563765,0.0,48.2,0.0
2021-07-05,1572324.1600000074,-174351.9563375883,1938599.910155435,-80388.58502127149,-151509.3327287653,42086.163419730416,31.9,0.0
2021-07-06,1573998.559999999,-180177.84991273412,1938426.7361773704,-85549.22399082975,-161998.62166825667,0.0,62.800000000000004,0.0
2021-07-07,1621201.919999991,-185087.25506594984,1938253.5621993053,-78906.99907849151,-161766.8531209207,0.0,39.900000000000006,0.0
2021-07-08,1732650.7200002037,-188868.4266540077,1938080.3882212408,-73858.28442532157,21865.155766125907,0.0,53.0,0.0
2021-07-09,1882857.2800002145,-191345.1532151187,1937907.214243176,-69984.32049960125,127939.53105292142,0.0,41.0,0.0
2021-07-10,1862286.0800001859,-192382.2534667867,1937734.0402651115,-57776.97203890586,238995.1637630837,0.0,48.2,0.0
