ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,10375999.199999414,-93668.17012283174,8586844.403609632,-320827.80823588365,123021.16942949302,0.0,0.0,105.16297599999999,0.0,0.0
2021-06-07,9036511.209998837,-293117.2212127752,8583351.56480202,613447.1310527499,-1532617.5825026175,0.0,0.0,107.74614600000001,0.0,0.0
2021-06-08,9179676.819999242,-465268.5263369512,8579858.725994408,1336628.1050798034,-1366010.789067116,0.0,0.0,102.19313199999999,0.0,0.0
2021-06-09,9359870.239998901,-605266.559913842,8576365.887186797,1380094.1885218627,-1058605.743860914,0.0,0.0,111.653922,0.0,0.0
2021-06-10,10509800.319998888,-708802.8248125431,8572873.048379185,821242.2906585555,-447991.5311459565,0.0,0.0,109.16644600000001,0.0,0.0
2021-06-11,12084122.719999157,-772209.4048739302,8569380.209571572,198372.9279820199,2181693.912577636,0.0,0.0,102.49580000000002,0.0,0.0
2021-06-12,12026745.619998245,-792539.6671914443,8565887.370763961,26813.05593608949,2100510.564578941,0.0,0.0,102.92755999999999,0.0,0.0
2021-06-13,10746526.249998692,-767634.3482627338,8562394.53195635,357961.83125967265,123021.16942739351,0.0,0.0,109.373954,0.0,0.0
2021-06-14,9518992.329998586,-696171.5824337977,8558901.693148738,773068.1750992872,-1532617.5825025383,0.0,0.0,109.205098,0.0,0.0
2021-06-15,9646818.939998703,-577699.7881448158,8555408.854341125,796042.5055542854,-1366010.7890672465,0.0,0.0,104.871294,0.0,0.0
2021-06-16,9620007.219998246,-412652.7088994659,8551916.015533512,329838.33493698965,-1058605.7438617148,0.0,0.0,107.37477,0.0,0.0
2021-06-17,10689336.829998206,-202346.30255299195,8548423.176725902,-280278.8055151942,-447991.5311517136,0.0,0.0,106.68784600000001,0.0,0.0
2021-06-18,12306020.819998419,51042.42489218201,8544930.33791829,-588645.713224856,2181693.9125714367,0.0,0.0,109.75653799999999,0.0,0.0
2021-06-19,14095467.199998446,344514.14584994054,8541437.499110678,-452956.44993804,2100510.56457737,0.0,0.0,100.87296400000002,0.0,0.0
2021-06-20,11459052.63999824,674302.6169371756,8537944.660303066,-122499.7336686122,123021.16942654552,0.0,0.0,109.768832,0.0,0.0
2021-06-21,8282281.59999861,1035945.5188988992,8534451.821495453,43525.41240131663,-1532617.5825024594,0.0,0.0,107.320314,0.0,0.0
2021-06-22,8526466.889998624,1424369.152023917,8530958.982687842,-73122.86760629651,-1366010.7890670437,0.0,0.0,109.41857199999997,0.0,0.0
2021-06-23,9006560.799998691,1833985.1130135907,8527466.14388023,-275215.70741849625,-1058605.7438601137,0.0,0.0,99.88791,0.0,0.0
2021-06-24,9966201.75999809,2258796.828627179,8523973.305072619,-302673.08539117593,-447991.5311504728,0.0,0.0,101.15125199999999,0.0,0.0
2021-06-25,11285484.329997264,2692513.6211685194,8520480.466265008,-132020.84233718677,2181693.9125728006,0.0,0.0,98.425642,0.0,0.0
2021-06-26,11241924.169996914,3128669.835344311,8516987.627457395,-5263.970933433247,2100510.564576515,0.0,0.0,112.41489000000001,0.0,0.0
2021-06-27,10093264.039998364,3560746.468025132,8513494.788649783,-158494.93380395527,123021.16942319444,0.0,0.0,100.496976,1707.776,0.0
2021-06-28,8720952.669998704,3982292.7137672007,8510001.94984217,-537937.8762361896,-1532617.582502426,-3360040.7048478373,0.0,94.08229999999999,1398.1239999999998,0.0
2021-06-29,9368182.249998353,4387044.869386401,8506509.11103456,-813547.4215037237,-1366010.789068695,0.0,0.0,100.459722,1581.0479999999995,0.0
2021-06-30,10186028.019997396,4769040.129413744,8503016.2682735,-699470.6548248882,-1058605.7438609146,0.0,0.0,101.592498,1701.3640000000003,0.0
2021-07-01,11308000.029996952,5122722.947895191,8499523.425512442,-266410.24234500824,-447991.5311492317,0.0,0.0,236.188434,1714.0200000000002,0.0
2021-07-02,13390452.799996063,5443041.836908243,8496030.582751386,84889.57417571447,2181693.9125741646,0.0,0.0,408.1546899999999,1716.148,0.0
2021-07-03,13041575.539996415,5725534.713019695,8492537.739990328,-3722.867188926864,2100510.564580549,0.0,0.0,292.50035,1685.432,0.0
2021-07-04,9750346.569998106,5966401.183473856,8489044.89722927,-474527.643601208,123021.1694223465,0.0,0.0,201.170642,1287.384,0.0
2021-07-05,8685747.219998578,6162560.477039459,8485552.054468213,-854567.3824151576,-1532617.582502347,-3821903.840419956,0.0,243.91516999999993,1778.2520000000002,0.0
2021-07-06,8461289.29999882,6311694.062276971,8482059.211707154,-663726.4615676828,-1366010.7890673052,0.0,0.0,205.787908,1392.692,0.0
2021-07-07,8425168.989998791,6412272.350211741,8478566.368946096,130752.90510668817,-1058605.743860514,0.0,0.0,221.25738600000003,1604.3719999999996,0.0
2021-07-08,9113730.109998534,6463565.240360319,8475073.52618504,1040725.5175332353,-447991.53114799067,0.0,0.0,212.61036600000003,1669.2759999999998,0.0
2021-07-09,10442924.729998162,6465636.630116046,8471580.683423981,1452973.037675656,2181693.912575569,0.0,0.0,209.93555399999997,1606.8079999999998,0.0
2021-07-10,10467154.139998037,6419323.35908905,8468087.84066292,1148523.7212292796,2100510.564580411,0.0,0.0,195.44224599999998,1604.7919999999997,0.0
2021-07-11,9586545.90999875,6326199.394005841,8464594.997901864,478417.9898725559,123021.1694214985,0.0,0.0,216.460544,364.476,0.0
2021-07-12,8180462.999998913,6188526.36855609,8461102.155140806,39402.67831332565,-1532617.5825022676,0.0,0.0,192.967756,0.0,0.0
2021-07-13,8149992.019999037,6009191.869314048,8457609.312379748,148203.80627071287,-1366010.7890674355,0.0,0.0,204.69297400000005,0.0,0.0
2021-07-14,8306818.959998993,5791637.0976035455,8454116.469618691,589650.6109465142,-1058605.7438608122,0.0,0.0,193.44402,0.0,0.0
