ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-06-06,13778446.239997894,-338429.6286816655,13521203.02776129,-334475.9275336685,712841.3877925308,0.0,0.0,0.0,0.0
2021-06-07,12169557.599999078,-334406.11572654545,13529407.052367115,-79906.13825148362,-523123.74282568274,0.0,0.0,0.0,0.0
2021-06-08,11694337.119998755,-328098.76779630315,13537611.076972945,162420.0246532751,-688841.1791702975,0.0,0.0,0.0,0.0
2021-06-09,12267758.39999898,-320175.43439480406,13545815.101578768,330657.1722317509,-640724.5174748817,0.0,0.0,0.0,0.0
2021-06-10,13266922.559997411,-311255.22002687585,13554019.1261846,426509.3638152995,-113948.68866633013,0.0,0.0,0.0,0.0
2021-06-11,13474868.319998432,-301882.9940361594,13562223.150790423,487343.4573780918,572969.0234921077,0.0,0.0,0.0,0.0
2021-06-12,13370786.87999839,-292507.099002138,13570427.17539625,541694.6207181818,680827.7168522367,0.0,0.0,0.0,0.0
2021-06-13,13464402.399997827,-283461.02499411145,13578631.20000208,586362.9434724568,712841.3877920203,0.0,0.0,0.0,0.0
2021-06-14,11970094.23999892,-274949.6813294695,13586835.224607907,596940.554348715,-523123.74282617,0.0,0.0,0.0,0.0
2021-06-15,11744075.999998469,-267040.74179299985,13595039.249213733,554405.09077628,-688841.1791705837,0.0,0.0,0.0,0.0
2021-06-16,11169112.799999362,-259661.3684277208,13603243.273819558,462931.9975616504,-640724.5174755817,0.0,0.0,0.0,0.0
2021-06-17,12017157.759999208,-252600.43857457695,13611447.298425388,348612.49090996484,-113948.68866702664,0.0,0.0,0.0,0.0
2021-06-18,13007563.520000169,-245516.2155068961,13619651.323031217,246169.95795631676,572969.0234905579,0.0,0.0,0.0,0.0
2021-06-19,13430509.600000182,-237949.22071345936,13627855.34763704,184695.58690460955,680827.7168528464,0.0,0.0,0.0,0.0
2021-06-20,11407709.279999414,-229339.89137795585,13636059.37224287,175891.8408833265,712841.3877914071,0.0,0.0,0.0,0.0
2021-06-21,10686863.519999407,-219050.4454851561,13644263.396848695,203667.26765664865,-523123.74282665714,0.0,0.0,0.0,0.0
2021-06-22,10951481.279999454,-206390.234338532,13652467.421454525,219802.53949310552,-688841.1791695516,0.0,0.0,0.0,0.0
2021-06-23,10540344.319999494,-190643.74267689572,13660671.44606035,157668.45271924272,-640724.5174736264,0.0,0.0,0.0,0.0
2021-06-24,11290523.359999614,-171100.303829964,13668875.470666178,-30661.05828814499,-113948.6886669494,0.0,0.0,0.0,0.0
2021-06-25,12254856.31999953,-147084.5344252201,13677079.495272003,-330487.1334276007,572969.0234912209,0.0,0.0,0.0,0.0
2021-06-26,11893454.559999723,-117986.46210123808,13685283.519877832,-648372.42837636,680827.7168527627,0.0,0.0,0.0,0.0
2021-06-27,11881693.280000236,-83290.32152963818,13693487.544483658,-849499.4550009111,712841.3877909993,0.0,0.0,0.0,0.0
2021-06-28,11243242.719999453,-42601.02878929053,13701691.569089483,-836582.5071205406,-523123.7428243323,1467237.6651481776,0.0,0.0,0.0
2021-06-29,11316147.200000098,4332.589222379429,13709895.59369531,-619758.8639565749,-688841.1791708571,0.0,0.0,0.0,0.0
2021-06-30,12136121.119997976,57598.63717692511,13718099.605656443,-322781.0045124556,-640724.5174743264,0.0,0.0,0.0,0.0
2021-07-01,14777168.799996728,117107.76896594306,13726303.617617572,-111907.43701693918,-113948.6886668722,0.0,0.0,0.0,0.0
2021-07-02,15329864.319998382,182584.13763851445,13734507.6295787,-91783.92664948356,572969.0234918838,0.0,0.0,0.0,0.0
2021-07-03,14557137.919997878,253562.06966582488,13742711.641539833,-240776.5374433477,680827.7168529645,0.0,0.0,0.0,0.0
2021-07-04,11390921.119997848,329388.6772125706,13750915.65350096,-431415.8247023661,712841.387790386,0.0,0.0,0.0,0.0
2021-07-05,10653128.95999878,409232.43587960827,13759119.665462092,-519189.3245869759,-523123.7428248197,-2531699.847625435,0.0,0.0,0.0
2021-07-06,11541374.239998823,492097.5671518747,13767323.67742322,-434057.3463527329,-688841.1791701242,0.0,0.0,0.0,0.0
2021-07-07,14998693.759998715,576843.8804460012,13775527.689384352,-211787.73168883225,-640724.517473699,0.0,0.0,0.0,0.0
2021-07-08,15342575.039998543,662211.5549585422,13783731.70134548,48167.17311272711,-113948.68866679502,0.0,0.0,0.0,0.0
2021-07-09,17202564.799999084,746850.1820247958,13791935.71330661,257045.8368976017,572969.0234913996,0.0,0.0,0.0,0.0
2021-07-10,16948155.35999841,829351.2493905777,13800139.725267738,385581.4909356445,680827.716852187,0.0,0.0,0.0,0.0
2021-07-11,16798202.719999,908283.1341797695,13808343.737228869,458872.7731669904,712841.3877897728,0.0,0.0,0.0,0.0
2021-07-12,15042853.759999303,982227.585021882,13816547.74919,514765.0391478412,-523123.74282530666,0.0,0.0,0.0,0.0
2021-07-13,15167267.19999942,1049816.6186411136,13824751.76115113,566568.4759912519,-688841.1791704106,0.0,0.0,0.0,0.0
2021-07-14,14204726.400000622,1109768.7340166986,13832955.773112258,597527.6928647497,-640724.5174748633,0.0,0.0,0.0,0.0
2021-07-15,15433632.960000591,1160923.3588646448,13841159.78507339,582669.0103233492,-113948.68866749151,0.0,0.0,0.0,0.0
2021-07-16,16517124.320000008,1202272.488412668,13849363.79703452,513539.8809699321,572969.0234932096,0.0,0.0,0.0,0.0
2021-07-17,16490793.920000385,1232988.5540199217,13857567.808995647,406479.0284128051,680827.716852797,0.0,0.0,0.0,0.0
2021-07-18,16023283.040000014,1252447.666818868,13865771.820956776,293810.0535835997,712841.3877893649,0.0,0.0,0.0,0.0
