ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,7802891.679999521,-523456.644423236,6784344.288489874,-267273.166761863,1434972.7415336792,0.0,446.96011,0.0,0.0
2021-06-07,6580715.840000738,-563883.4807186223,6780933.870751009,-137852.14925243668,-173341.64312895658,0.0,464.3871800000001,0.0,0.0
2021-06-08,5882546.2400008375,-595675.9369489822,6777523.453012144,6827.088655874002,-569885.8677665376,0.0,441.83921000000004,0.0,0.0
2021-06-09,5610001.760000751,-618313.5558183688,6774113.035273279,190698.5957868455,-696279.1867889821,0.0,320.38842999999997,0.0,0.0
2021-06-10,5979495.840000872,-631449.7132633202,6770702.617534414,418707.88896158914,-618927.7737514628,0.0,321.7,0.0,0.0
2021-06-11,6169681.920000635,-634929.1421479112,6767292.199795548,644064.2143421022,97713.58664933196,0.0,312.71163,0.0,0.0
2021-06-12,6305981.760000758,-628801.2363317518,6763881.782056684,785593.6728160506,525748.1432502419,0.0,288.79999999999995,0.0,0.0
2021-06-13,7935029.439999796,-613328.475336674,6760471.364317818,783821.5027034819,1434972.741533254,0.0,344.19338999999997,0.0,0.0
2021-06-14,6482228.00000046,-588989.43281444,6757060.9465789525,647509.0554259843,-173341.64312957195,0.0,246.2,0.0,0.0
2021-06-15,6131064.000000627,-556475.9771598887,6753650.528840087,450118.6782000486,-569885.8677672126,0.0,297.1819,0.0,0.0
2021-06-16,5750511.520000729,-516684.4359420397,6750240.111101222,279640.8581486976,-696279.1867906057,0.0,281.86634999999995,0.0,0.0
2021-06-17,5937919.200000916,-470700.672643473,6746829.693362357,184006.87421804309,-618927.7737501666,0.0,279.4,0.0,0.0
2021-06-18,6376501.6000006255,-419779.20921186,6743419.275623492,153510.24197959996,97713.58664722928,0.0,307.40000000000003,0.0,0.0
2021-06-19,6731161.600000834,-365316.71563637606,6740008.857884627,145428.96952719617,525748.1432514834,0.0,352.42512000000005,0.0,0.0
2021-06-20,6339098.080000699,-308820.3722138615,6736598.440145762,120790.97181892813,1434972.741533127,0.0,356.33848,0.0,0.0
2021-06-21,6110687.8400007775,-251871.78561309067,6733188.022406897,61033.34515068712,-173341.6431301873,0.0,253.6,0.0,0.0
2021-06-22,6029952.320000912,-196087.3005053299,6729777.604668031,-39460.12362325267,-569885.8677646776,0.0,262.72195999999997,0.0,0.0
2021-06-23,8157349.280001453,-143075.6890531511,6726367.186929166,-182571.8533400523,-696279.1867875744,0.0,347.40000000000003,0.0,0.0
2021-06-24,8504590.400001388,-94394.316055562,6722956.7691903,-358232.01833767723,-618927.7737505778,0.0,407.98637,0.0,0.0
2021-06-25,9122970.240001414,-51504.96380971462,6719546.351451436,-527159.7637886992,97713.58664814856,0.0,299.68749,0.0,0.0
2021-06-26,9356893.120001443,-15730.554351752367,6716135.93371257,-622744.8131979759,525748.1432519869,0.0,452.37003000000004,0.0,0.0
2021-06-27,10309199.840000913,11785.974800478652,6712725.515973705,-587211.2744758092,1434972.7415324035,0.0,363.8,0.0,25.599999999999998
2021-06-28,8680534.88000109,30119.40347502541,6709315.09823484,-420946.956729652,-173341.6431270901,565822.5202940519,375.85625000000005,0.0,84.10000000000002
2021-06-29,8690640.160001183,38595.3875358282,6705904.680495975,-201052.93081974995,-569885.8677673516,0.0,395.59999999999997,0.0,191.99999999999997
2021-06-30,8831690.880001133,36817.95230981275,6701369.306960713,-43086.98306862693,-696279.1867891981,0.0,295.12813,0.0,540.2500000000001
2021-07-01,9627454.080001313,24690.35572803166,6696833.933425452,-27267.12198617947,-618927.7737509889,0.0,1057.76944,0.0,893.8499999999998
2021-07-02,10698665.280001111,2428.5139367293964,6692298.559890189,-144804.83123685405,97713.5866490678,0.0,1039.5,0.0,1402.8
2021-07-03,9683710.240001304,-29433.63231605092,6687763.186354928,-307635.5606869165,525748.1432495303,0.0,375.00000000000006,0.0,1383.4999999999995
2021-07-04,7249427.040001049,-70047.22365686542,6683227.812819667,-413557.1911946283,1434972.7415322764,0.0,426.8000000000001,0.0,778.85
2021-07-05,8609455.680001343,-118260.24757163682,6678692.439284405,-413275.2760266846,-173341.6431277056,2813056.893409333,450.90000000000003,0.0,974.9500000000002
2021-07-06,8053330.400001491,-172637.91329529363,6674157.065749143,-326872.032366214,-569885.8677660273,0.0,515.15052,0.0,1115.1
2021-07-07,6103026.080000751,-231491.34411680172,6669621.692213882,-203656.29531287323,-696279.1867884939,0.0,316.10533000000004,0.0,1085.3
2021-07-08,5908033.920000685,-292914.05551248824,6665086.31867862,-68747.27356762484,-618927.7737514,0.0,344.65019,0.0,1168.0
2021-07-09,6586898.240000794,-354825.4571241339,6660550.945143359,92528.2219954482,97713.58664835928,0.0,322.94952,0.0,1295.9999999999998
2021-07-10,6556177.600000679,-415020.4022626385,6656015.571608096,300827.11269208585,525748.1432492958,0.0,240.9,0.0,1334.5500000000002
2021-07-11,7832357.440000205,-471223.6167780911,6651480.198072835,536551.7617114129,1434972.7415321486,0.0,296.09999999999997,0.0,1359.9499999999998
