ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-06-06,43778847.6799923,-3799072.91363934,37558285.4465165,-1460296.9541510756,11082212.133367838,0.0,0.0,0.0
2021-06-07,34301706.87999525,-3018962.31741451,37563481.64839453,-936461.530136248,-323693.36997451395,0.0,0.0,0.0
2021-06-08,29569572.79999634,-2207365.476690404,37568677.85027257,39831.153715362045,-4360372.110222524,0.0,0.0,0.0
2021-06-09,33345363.19999674,-1383393.6822400652,37573874.05215061,887665.0693571358,-5201343.8068396645,0.0,0.0,0.0
2021-06-10,32973120.15999678,-566620.6834277622,37579070.25402864,1144066.891505038,-5038923.188249808,0.0,0.0,0.0
2021-06-11,35264494.239996344,223400.34112683497,37584266.455906674,812876.926653178,-830246.1878753467,0.0,0.0,0.0
2021-06-12,39088584.639995724,967621.4753157868,37589462.65778471,343707.73017723736,4672366.529776869,0.0,0.0,0.0
2021-06-13,48897654.07999178,1647973.8466913374,37594658.85966274,240473.95053034197,11082212.13336502,0.0,0.0,0.0
2021-06-14,38221745.91999454,2247818.165705094,37599855.061540775,626827.7496143334,-323693.3699803188,0.0,0.0,0.0
2021-06-15,34053546.07999573,2752360.2646650057,37605051.26341881,1146851.7644416953,-4360372.110226617,0.0,0.0,0.0
2021-06-16,41421167.35999332,3149020.7676993776,37610247.46529684,1291860.7610392224,-5201343.806848527,0.0,0.0,0.0
2021-06-17,41903011.8399931,3427749.206161532,37615443.66717488,866599.8424335202,-5038923.188240266,0.0,0.0,0.0
2021-06-18,46363227.039992124,3581274.339396369,37620639.86905291,179975.9811971015,-830246.1878933508,0.0,0.0,0.0
2021-06-19,53896819.99999054,3605284.1099157752,37625836.07093094,-213509.2640030407,4672366.529786623,0.0,0.0,0.0
2021-06-20,51745164.47999038,3498530.510190636,37631032.27280898,1490.4133591278803,11082212.133363103,0.0,0.0,0.0
2021-06-21,51929447.83999238,3262856.615600512,37636228.47468702,612124.0690394597,-323693.36998612253,0.0,0.0,0.0
2021-06-22,42481058.87999403,2903145.0912494566,37641424.67656505,1032842.6045386771,-4360372.110210875,0.0,0.0,0.0
2021-06-23,29538219.199996714,2427189.553823629,37646620.878443085,769969.9926148001,-5201343.806831832,0.0,0.0,0.0
2021-06-24,29219034.399997033,1845492.2072701824,37651817.08032112,-193401.260130189,-5038923.18824308,0.0,0.0,0.0
2021-06-25,30800448.159996267,1170993.1174969163,37657013.28219915,-1391667.8007661286,-830246.1878867067,0.0,0.0,0.0
2021-06-26,35026129.599995494,418738.29385003145,37662209.48407719,-2218752.545865972,4672366.529791591,0.0,0.0,0.0
2021-06-27,42339106.55999264,-394504.6451634167,37667405.68595522,-2317928.175926281,11082212.133359384,0.0,0.0,0.0
2021-06-28,33233796.639995426,-1250673.0712274488,37672601.88783325,-1733454.807612937,-323693.36995833315,-204281.3095403841,0.0,0.0
2021-06-29,29066399.039997205,-2130866.96022958,37677798.089711286,-782091.1621490779,-4360372.110225617,0.0,0.0,0.0
2021-06-30,27230778.23999738,-3015825.474247585,37686322.732936576,173038.15897675965,-5201343.806840696,0.0,0.0,0.0
2021-07-01,28407406.71999681,-3886409.992965226,37694847.37616186,853571.6758820551,-5038923.188245893,0.0,0.0,0.0
2021-07-02,33145152.799996056,-4724080.941330809,37703372.01938715,1076567.789647248,-830246.1878800627,0.0,0.0,0.0
2021-07-03,34213920.479995385,-5511355.965820106,37711896.66261244,758433.185779501,4672366.529767983,0.0,0.0,0.0
