ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_CBA,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,32702286.87999944,-1337643.439953064,27060345.71005889,2786549.912749755,5513520.605434305,0.0,0.0,0.0,480.306732,1010.044,0.0
2021-06-07,25578454.55999942,-1221724.6148939591,27072345.082988717,1656529.8803830126,-2481118.25314079,0.0,0.0,0.0,376.981218,960.1759999999999,0.0
2021-06-08,24235464.31999947,-1093866.9686481983,27084344.455918543,68088.15224700929,-3810760.512352996,0.0,0.0,0.0,462.93104999999997,894.2359999999998,0.0
2021-06-09,23593120.320000324,-955887.4535358142,27096343.82884836,-795668.1061462337,-3956593.1062571374,0.0,0.0,0.0,486.107538,1007.1879999999999,0.0
2021-06-10,24743002.560000286,-809616.2352510886,27108343.20177819,-519953.2340523841,-3586734.6960547366,0.0,432674.8061281999,0.0,460.8732599999999,883.0360000000001,0.0
2021-06-11,26127735.039999835,-656852.3508172516,27120342.57470801,260334.06418169488,2840660.531143697,0.0,421348.66395752376,0.0,504.15204600000004,938.0840000000001,0.0
2021-06-12,28405117.75999928,-499325.8905974258,27132341.947637837,585811.5909728557,5481025.43123514,0.0,185871.2281019191,0.0,470.2885519999999,920.1360000000002,0.0
2021-06-13,31317197.439999618,-338667.7443885636,27144341.320567656,133212.45877881013,5513520.605429488,0.0,141989.5570848041,0.0,508.8908420000001,1050.784,0.0
2021-06-14,25898095.679998487,-176387.6008462341,27156340.69349748,-554065.5430663336,-2481118.2531430298,0.0,338552.7287396553,0.0,476.443592,698.9640000000002,0.0
2021-06-15,23777650.239998817,-13860.519057111436,27168340.0664273,-755078.780024115,-3810760.512355224,0.0,265993.66594488773,0.0,462.605944,522.816,0.0
2021-06-16,22629740.479998983,147677.98536728558,27180339.439357128,-418232.9001274616,-3956593.1062634815,0.0,260365.5609112212,0.0,481.43072600000005,568.2040000000001,0.0
2021-06-17,23307243.199998617,307128.7653166769,27192338.81228695,-242438.5361057975,-3586734.6960581094,0.0,344264.87191884447,0.0,507.03447,598.5279999999999,0.0
2021-06-18,25292993.279998794,463518.5499581134,27204338.185216773,-868107.1958214755,2840660.5311240684,0.0,304747.4653397799,0.0,473.0141619999999,603.26,0.0
2021-06-19,29156054.879998244,615983.2176141933,27216337.5581466,-2011244.728796061,5481025.431237212,0.0,175725.49906564233,0.0,452.40218999999996,541.856,0.0
2021-06-20,28203155.679998763,763746.179977162,27228336.93107642,-2506756.9246801976,5513520.605427551,0.0,157805.50820158393,0.0,407.74361200000004,340.45199999999994,0.0
2021-06-21,23030135.51999912,906093.4307883034,27240336.30400625,-1356756.3567579947,-2481118.2531452687,0.0,736471.0481120042,0.0,417.395914,462.61600000000004,0.0
2021-06-22,22197745.279999204,1042346.9539478248,27252335.676936064,1162852.2529782203,-3810760.51234724,0.0,699363.1369501379,0.0,414.299692,489.328,0.0
2021-06-23,25508045.11999966,1171838.257253201,27264335.04986589,3454319.97443505,-3956593.106252801,0.0,1002087.4503307331,0.0,444.80565,575.7080000000001,0.0
2021-06-24,26586347.679999515,1293883.795180831,27276334.422795717,3795923.473208255,-3586734.696057769,0.0,981832.2324919169,0.0,485.383492,527.8840000000001,0.0
2021-06-25,28682501.43999903,1407763.967197789,27288333.79572554,1790711.802669351,2840660.53112968,0.0,813874.9001868716,0.0,469.664842,532.756,0.0
2021-06-26,31575312.639999006,1512707.2288509326,27300333.16865536,-1233118.979499044,5481025.431238375,0.0,29925.12974223594,0.0,474.004056,472.78000000000003,0.0
2021-06-27,33927528.159998946,1607880.6365376958,27312332.54158519,-3267517.841523382,5513520.6054198565,0.0,29011.46350072672,0.0,420.13549800000004,1532.5240000000001,0.0
2021-06-28,27219315.039999437,1692387.8706083703,27324331.914515004,-3217408.498172352,-2481118.253133627,1503088.4538964636,27806.956396642243,0.0,442.86163400000004,1443.8480000000004,0.0
2021-06-29,25817757.599999487,1765275.455013936,27336331.287444837,-1654987.3579188196,-3810760.512357576,0.0,29288.022691543316,0.0,419.332372,1426.992,0.0
2021-06-30,26299384.95999946,1825547.526746789,27345635.04066325,-124332.09879278076,-3956593.1062591462,0.0,29871.10420312639,0.0,422.312124,1526.3920000000003,0.0
2021-07-01,27972176.799999245,1872189.1180157212,27354938.79388166,300979.21659207187,-3586734.696057428,0.0,0.0,0.0,548.0645800000001,1129.94,0.0
2021-07-02,31890876.319998983,1904197.5127727124,27364242.54710007,-128379.73808042324,2840660.531135291,0.0,0.0,0.0,644.721856,985.0680000000003,0.0
2021-07-03,33988358.55999809,1920620.842057376,27373546.300318483,-294049.3907983051,5481025.431232905,0.0,0.0,0.0,391.986972,974.2040000000002,0.0
2021-07-04,28129982.55999856,1920602.7045450397,27382850.053536896,552295.4285203996,5513520.605417919,0.0,0.0,0.0,323.20971199999997,967.6520000000002,0.0
2021-07-05,27631478.71999949,1903431.2548299727,27392153.80675532,1997701.7843882248,-2481118.253135867,-1264622.1966318612,0.0,0.0,530.82887,9.884,0.0
2021-07-06,26657279.679999255,1868590.905910337,27401457.559973728,2862814.4339364264,-3810760.512351696,0.0,0.0,0.0,442.9648380000001,0.0,0.0
2021-07-07,28078466.23999913,1815814.5569350023,27410761.31319214,2354813.483490788,-3956593.1062569777,0.0,0.0,0.0,407.243238,0.0,0.0
2021-07-08,28542609.91999911,1745134.092846533,27420065.066410556,838413.9107204886,-3586734.696057086,0.0,0.0,0.0,454.046232,0.0,0.0
2021-07-09,29980573.599999066,1656926.8179636546,27429368.819628965,-507223.71336722415,2840660.531136384,0.0,0.0,0.0,438.92283000000003,0.0,0.0
2021-07-10,32916127.999998685,1551955.486217975,27438672.57284738,-780510.7648069888,5481025.431233158,0.0,0.0,0.0,467.447052,0.0,0.0
2021-07-11,35547298.55999872,1431399.6800659862,27447976.32606579,-127652.21677098364,5513520.605415982,0.0,0.0,0.0,416.965984,0.0,0.0
2021-07-12,29170859.519999117,1296876.467852933,27457280.07928421,522963.6065698292,-2481118.2531381063,0.0,0.0,0.0,433.55876600000005,0.0,0.0
2021-07-13,26810400.79999932,1150448.53257682,27466583.832502622,438448.5771007498,-3810760.5123539222,0.0,0.0,0.0,396.47914199999997,0.0,0.0
2021-07-14,26867385.59999957,994618.3076752382,27475887.585721035,-233836.3705057528,-3956593.1062560775,0.0,0.0,0.0,426.12161999999995,0.0,0.0
2021-07-15,27708169.919999227,832307.0683157614,27485191.338939447,-740477.8214508344,-3586734.69606046,0.0,0.0,0.0,401.8849799999999,0.0,0.0
2021-07-16,29553090.07999916,666818.3984114801,27494495.09215786,-621392.666618789,2840660.5311465147,0.0,0.0,0.0,473.22535400000004,0.0,0.0
2021-07-17,32633515.039998934,501785.96990331874,27503798.84537627,-256086.265244528,5481025.431235231,0.0,0.0,0.0,527.902294,0.0,0.0
2021-07-18,34918923.83999853,341106.1159012864,27513102.598594684,-445696.02994703146,5513520.605408288,0.0,0.0,0.0,505.633012,0.0,0.0
2021-07-19,28918819.999999132,188856.2356445646,27522406.351813097,-1436002.4068298792,-2481118.2531203674,0.0,0.0,0.0,438.110482,0.0,0.0
2021-07-20,27296157.11999929,49200.61847793172,27531710.10503151,-2422149.2046106234,-3810760.5123480414,0.0,0.0,0.0,358.65468999999996,0.0,0.0
2021-07-21,26779028.800000314,-73714.20255003746,27541013.85824992,-2157677.4361907486,-3956593.106253909,0.0,0.0,0.0,433.91570999999993,0.0,0.0
2021-07-22,28304171.680000193,-175871.97770077805,27550317.611468337,-189911.27610357795,-3586734.696052886,0.0,0.0,0.0,521.79494,0.0,0.0
2021-07-23,30576998.560000014,-253504.14127823323,27559621.364686757,2461122.2167391595,2840660.531147608,0.0,0.0,0.0,497.0228639999999,0.0,0.0
2021-07-24,33467454.560000394,-303208.74009631865,27568925.11790517,3936976.585416297,5481025.431236391,0.0,0.0,0.0,543.236488,0.0,0.0
