ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-06-06,50477224.15998356,-5522965.243849389,49778950.9067042,-2453283.789203631,9263051.36880964,0.0,707.779892,0.0,0.0
2021-06-07,40760051.679980844,-6454258.90714063,49768349.93060249,-1913639.163774532,-4635708.186808076,0.0,689.7803440000001,0.0,0.0
2021-06-08,36246193.11999241,-7237533.23307054,49757748.9545008,-2475293.0529078543,-7329973.602893561,0.0,701.3833839999999,0.0,0.0
2021-06-09,37150814.39999081,-7852775.306270071,49747147.97839909,-3844406.31214676,-7393593.034195195,0.0,724.822132,0.0,0.0
2021-06-10,39903259.35999069,-8284109.963377122,49736547.00229738,-4775960.423217136,-5151560.357100711,0.0,788.702766,0.0,0.0
2021-06-11,42798046.719988935,-8520229.093501266,49725946.02619568,-4396416.206454565,5671493.196535538,0.0,770.89277,0.0,0.0
2021-06-12,44075849.43997006,-8554704.488717757,49715345.05009398,-3099809.7103948565,9576290.61566412,0.0,799.9557379999999,0.0,0.0
2021-06-13,50650581.59997703,-8386175.799863874,49704744.07399227,-2158653.199950522,9263051.36880167,0.0,799.2616099999999,0.0,0.0
2021-06-14,42869291.5199763,-8018408.46254757,49694143.09789056,-2458344.278598762,-4635708.186812544,0.0,780.7483159999999,0.0,0.0
2021-06-15,39720977.91998237,-7460219.902177483,49683542.12178885,-3596826.97682726,-7329973.602897408,0.0,735.190662,0.0,0.0
2021-06-16,39258795.67998495,-6725275.810345072,49672941.14568716,-4208976.017605121,-7393593.034204862,0.0,791.470954,0.0,0.0
2021-06-17,42622856.63998635,-5831761.7139479,49662340.16958544,-3184032.794549077,-5151560.357109619,0.0,794.4027000000001,0.0,0.0
2021-06-18,47279322.55997555,-4801938.339897705,49651739.19348374,-613936.7575138764,5671493.196504279,0.0,799.8220699999999,0.0,0.0
2021-06-19,51460122.71997551,-3661592.323946029,49641138.21738204,2375629.8963794843,9576290.61566792,0.0,780.3427019999999,0.0,0.0
2021-06-20,46273810.399978966,-2439396.5405170284,49630537.24128033,4650653.166598995,9263051.368797468,0.0,717.7017679999999,0.0,0.0
2021-06-21,41977296.31998009,-1166196.6687800295,49619936.26517863,5897121.775511555,-4635708.186817013,0.0,890.4425479999999,0.0,0.0
2021-06-22,38710240.15998379,125757.50235665134,49609335.28907692,6487755.574934274,-7329973.602883377,0.0,869.658602,0.0,0.0
2021-06-23,50057520.15997973,1403616.1406811804,49598734.31297521,6664731.149306788,-7393593.034186223,0.0,917.0762379999999,0.0,0.0
2021-06-24,54816227.519960776,2634748.06643274,49588133.33687351,6032732.168883714,-5151560.357108345,0.0,907.7307619999999,0.0,0.0
2021-06-25,59024388.479985595,3787553.0377882,49577532.360771805,4007680.409920479,5671493.196513532,0.0,831.6971639999999,0.0,0.0
2021-06-26,60043582.87994598,4832246.848857008,49566931.38467009,800202.5705856966,9576290.615669193,0.0,890.2026559999999,0.0,0.0
2021-06-27,64740399.99998054,5741599.273922049,49556330.4085684,-2170982.7516014194,9263051.36878573,0.0,985.597936,0.0,0.0
2021-06-28,54491494.87996192,6491606.226819784,49545729.43246669,-3091501.656859952,-4635708.186794506,-165933.1183843484,1055.8234240000002,0.0,0.0
2021-06-29,50509582.71997193,7062079.322867597,49535128.45636498,-1239516.877112602,-7329973.602900248,0.0,1117.552846,0.0,0.0
2021-06-30,54852494.559955284,7437138.281358697,49524527.50487085,2189368.783980276,-7393593.03419589,0.0,1918.3457279999998,0.0,0.0
2021-07-01,67084194.55997126,7605594.224614553,49513926.553376734,4799307.19823484,-5151560.357107071,0.0,1889.328054,0.0,0.0
2021-07-02,76197430.87997107,7561214.842007491,49503325.60188262,4775689.061098544,5671493.196522782,0.0,1834.284144,0.0,0.0
2021-07-03,72056140.79995933,7302865.513538875,49492724.650388494,2247628.1085668416,9576290.615662817,0.0,1260.950284,0.0,0.0
2021-07-04,51620335.839974664,6834523.741448396,49482123.69889437,-937377.0528535828,9263051.368781528,0.0,944.2149720000001,0.0,0.0
2021-07-05,50451045.9199817,6165167.531547777,49471522.747400254,-2809915.856334952,-4635708.186798976,2240326.047751532,1229.876882,0.0,0.0
2021-07-06,50730447.19998291,5308541.609932907,49460921.79590613,-2832647.6935970583,-7329973.602891069,0.0,998.0457060000001,0.0,0.0
2021-07-07,53106703.67996074,4282808.4685570905,49450320.844412014,-2086505.3877984355,-7393593.034191403,0.0,827.6801979999998,0.0,0.0
2021-07-08,55355699.35996671,3110094.123541683,49439719.89291789,-2040814.3495447915,-5151560.357105797,0.0,863.083138,0.0,0.0
2021-07-09,60619212.79995061,1815941.0673743272,49429118.94142377,-3128555.060283598,5671493.1965237055,0.0,837.7992740000001,0.0,0.0
2021-07-10,63382373.27994576,428683.1346145364,49418517.989929646,-4444055.318429798,9576290.615661558,0.0,865.2515959999998,0.0,0.0
2021-07-11,69695553.4399409,-1021241.1754650038,49407917.03843553,-4757307.398657512,9263051.368777327,0.0,868.3672260000002,0.0,0.0
2021-07-12,57993194.07995257,-2502019.0107340715,49397316.08694141,-3790516.375816002,-4635708.186803444,0.0,846.4127919999999,0.0,0.0
2021-07-13,53378432.479965955,-3981218.3273433233,49386715.13544729,-2504871.280210696,-7329973.602894914,0.0,843.8799700000001,0.0,0.0
2021-07-14,51233316.319960006,-5426548.74459003,49376114.183953166,-2145595.754227248,-7393593.034193882,0.0,849.5587960000001,0.0,0.0
2021-07-15,57102549.59996447,-6806609.075950523,49365513.23245905,-2997887.453401039,-5151560.357114706,0.0,844.3659040000003,0.0,0.0
2021-07-16,60704274.39995671,-8091603.15461349,49354912.28096493,-4059563.869345233,5671493.196541285,0.0,827.4307879999999,0.0,0.0
2021-07-17,64212655.03995728,-9254006.680234017,49344311.329470806,-3927729.152955417,9576290.61566536,0.0,830.1169179999999,0.0,0.0
2021-07-18,69155186.55995096,-10269169.3584819,49333710.377976686,-2035931.158430237,9263051.368765589,0.0,835.6130479999999,0.0,0.0
2021-07-19,55884255.35996632,-11115838.536500748,49323109.42648257,912560.5203690898,-4635708.186771618,0.0,853.4951860000001,1356.208,0.0
2021-07-20,47845483.839971945,-11776592.798111727,49312508.474988446,3644983.551712522,-7329973.602885734,0.0,852.1864980000001,1344.0279999999998,0.0
