ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-06-06,73484297.11998719,-6652593.2972741565,44321341.55737102,-2914406.527248838,12619676.934240555,0.0,465.983874,0.0,0.0,0.0
2021-06-07,57650327.999995984,-5580360.277738416,44283577.52512725,-969291.5836200567,-2028258.5882359145,0.0,477.3700820000001,0.0,0.0,0.0
2021-06-08,54097346.87999819,-4543713.118955082,44245813.49288347,596966.500028466,-6898703.119649625,0.0,465.05575599999986,0.0,0.0,0.0
2021-06-09,51984515.359999776,-3577997.384582732,44208049.46063971,695379.8411686749,-8478589.045898734,0.0,465.3608,0.0,0.0,0.0
2021-06-10,55099385.11999773,-2716479.6011551507,44170285.428395934,-221064.94065190645,-8502502.962100629,0.0,461.82882799999993,0.0,0.0,0.0
2021-06-11,56189666.07999746,-1989351.4637307983,44132521.39615216,-791018.12546649,4962829.2629710175,0.0,458.184328,0.0,0.0,0.0
2021-06-12,59189587.359996304,-1422815.3005131443,44094757.36390839,-360619.9868473264,8325547.518678113,0.0,457.911156,0.0,0.0,0.0
2021-06-13,75181075.1999848,-1038277.2101082032,44056993.33166461,228261.09614056343,12619676.9342327,0.0,465.48980800000004,0.0,0.0,0.0
2021-06-14,60014713.27999452,-851671.3090928604,44019229.29942084,-357758.95195126894,-2028258.5882394435,0.0,467.91999400000003,0.0,0.0,0.0
2021-06-15,55401251.83999546,-872934.8794948007,43981465.26717707,-2128601.432119697,-6898703.1196576,0.0,451.52307600000006,0.0,0.0,0.0
2021-06-16,62199378.400002845,-1105649.9884807428,43943701.2349333,-3159016.1079966403,-8478589.04591512,0.0,441.935714,0.0,0.0,0.0
2021-06-17,65315882.08000276,-1546862.4877952456,43905937.20268952,-1143504.8874032164,-8502502.962105991,0.0,466.941788,0.0,0.0,0.0
2021-06-18,72168947.36000238,-2187084.320279706,43868173.17044575,4129909.093421212,4962829.262936775,0.0,463.59276,0.0,0.0,0.0
2021-06-19,75399807.04000346,-3010479.9087731023,43830409.13820198,9817772.075176934,8325547.518681535,0.0,447.7541320000001,0.0,0.0,0.0
2021-06-20,71949773.92000203,-3995232.224356476,43792645.1059582,11843638.781146672,12619676.93423483,0.0,469.025502,0.0,0.0,0.0
2021-06-21,63248634.720003,-5114079.075186688,43754881.07371444,8212922.120505245,-2028258.5882429716,0.0,454.588306,0.0,0.0,0.0
2021-06-22,57542448.80000275,-6335005.3666694295,43717117.04147066,951009.0051752732,-6898703.11962716,0.0,436.682094,0.0,0.0,0.0
2021-06-23,33009187.840001103,-7622072.695370328,43679353.00922689,-5201691.337689141,-8478589.04588848,0.0,444.848986,0.0,0.0,0.0
2021-06-24,31882736.1600006,-8936363.776552768,43641588.97698312,-6407384.164538621,-8502502.962105762,0.0,440.12542599999995,0.0,0.0,0.0
2021-06-25,33147508.00000065,-10237015.977399793,43603824.94473935,-2652822.695071739,4962829.262946943,0.0,442.546876,0.0,0.0,0.0
2021-06-26,35873077.92000035,-11482315.726013085,43566060.91249557,2470392.103302749,8325547.518685369,0.0,439.439658,0.0,0.0,0.0
2021-06-27,46287926.8799966,-12630823.858749008,43528296.8802518,4847352.10393843,12619676.934216984,0.0,458.659472,0.0,81.0,0.0
2021-06-28,36668127.199999824,-13642501.103217958,43490532.84800803,3069840.2282983703,-2028258.588222604,10274084.413941525,436.311048,0.0,226.5,0.0
2021-06-29,33065727.360000562,-14479802.892630251,43452768.81576425,-874216.8153324111,-6898703.119656831,0.0,421.456122,0.0,618.0,0.0
2021-06-30,32899104.320000805,-15108713.568189792,43406284.81731974,-3767589.5412836783,-8478589.045904865,0.0,422.76195,0.0,2204.25,0.0
